"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1900,1900,1950,2000,2100,2150,2200,1995,1950,1900,1962.5,1850,1848.5,1800,1850,1950,1948,1900,1800,1795,1700,1650,1650,1675,1724,1795,1770,1795,1773.5,1750,1770,1800,1795,1795,1725,1750,1809,1850,1850,1895,1850,1850,1800,1890,1880,1750,1940.5,1899,1850,1850,1895,1995,2030,2100,2100,2100,2150,2173.5,2200,2200,2200,2209,2295,2300,2350,2350,2385,2395,2390,2400,2350,2395,2420,2485,2475,2450,2475,2464.5,2400,2475,2395,2400,2320,2400,2535,2600,2600,2600,2600,2595,2595,2575,2595,2521,2550,2500,2575,2595,2600,2600,2625,2695,2700,2650,2650,2695,2700,2699,2700,2700,2771.5,2795,2788,2794,2800,2800
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,,1400,1485,1450,1500,1500,1495.5,1500,1550,1550,1574,1500,1550,1555,1650,1650,1750,1700,1650,1665,1650,1595,1600,1600,1575,1500,1450,1500,1600,1595,1595,1600,1650,1558,1600,1600,1695,1600,1600,1695,1750,1800,1850,1800,1700,1795,1850,1650,1595,1600,1600,1675,1700,1800,1695,1800,1800,1730,1580,1600,1752,1600,1681,1695,1675,1690,1695,1750,1780,1850,1735,1695,1825,1695,1695,1750,1700,1700,1670,1650,1600,1600,1600,1600,1650,1650,1680,1700,1695,1690,1655,1650,1650,1650,1655,1675,1700,1744,1750,1765,1795,1795,1775,1800,1760,1765,1795,1800,1850,1875,1835,1800,1800,1800,1795,1775
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229,1175,1229,1300,1297,1300,1300,1350,1382,1295,1290,1295,1285,1329,1399.5,1400,1425,1415,1406.5,1400,1401.5,1570,1543,1570,1500,1535,1500,1475,1462,1442.5,1395,1400,1350,1350,1324,1400,1475,1431,1450,1479.5,1459,1468,1489,1500,1495,1500,1500,1479,1515,1541,1550,1558,1539,1530,1534,1509,1500,1497.5,1485,1475,1485,1500,1495,1500,1500,1500,1500,1495
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,850,875,950,900,869,834,825,838,825,814,820,810,825,836,825,815,825,825,839,839,830,840,829,825,844,845,840,850,849,829,815.5,835,825,800,840,850,850,850,865,875,890,869,866,860,875,885,899,899,912,929,950,944,956,950,960,965,956,965,1095,1075,1059,1100,1095,1098,1100,1049,1049,1075,1005,995,989,1045,1100,1186,1230,1180,1164,1175,1150,1145,1125,1110,1107,1117.5,1161,1195,1211,1219,1226,1249,1255,1254,1271,1264,1253,1268,1295,1312,1355,1375,1370,1375,1360,1379.5
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,1972.5,1900,1977.5,1700,1775,1750,1750,1750,1750,1700,1700,1750,1650,1595,1600,1595,1600,1640,1596,1595,1600,1600,1590,1605,1595,1600,1590,1565,1595,1595,1600,1595,1625,1575,1605,1745,1695,1600,1795,1800,1750,1750,1788,1895,1900,1895,1895,1900,1950,1945,1945,1935,1970,1950,1990,1950,1970,1980,2018.5,2050,2025,2007,1995,2000,2050,2095,2099,1999,1995,2100,2000,2119,1989,1995,1980,2017.5,2050,2100,2150,2179,2189,2195,2200,2200,2195,2150,2149,2152,2172,2190,2210,2252,2295,2300,2339.5,2300,2300,2300,2300,2299,2300,2300,2309.5,2365,2350,2350,2367.5,2359
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,2000,1900,1995,1900,1902.5,2092.5,2097.5,1895,1850,1850,1850,1800,1840,1850,1895,1895,1899.5,1900,1900,1880,1800,1787.5,1840,1800,1796,1775,1781.5,1784,1795,1799,1796,1800,1750,1740,1740,1730,1765,1770,1775,1800,1825,1800,1825,1950,1968.5,1910.5,2019.5,2000,2000,2000,1990,2000,2005,2015,2040,2100,2132.5,2126,2130,2130,2125,2110,2125,2130,2145,2149,2175,2175,2200,2200,2235,2215,2250,2266,2260,2260,2285,2250,2275,2290,2220,2275,2250,2288.5,2350,2370,2395,2400,2400,2385,2395,2398,2390,2385,2395,2395,2410,2420,2430,2440,2439,2440,2450,2450,2450,2425,2415,2396.5,2425,2450,2455,2450,2461,2475,2500,2500
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,1700,1900,1900,1975,1800,1900,1975,1825,1800,1825,1700,1662.5,1800,1900,1899,1800,1800,1800,1800,1800,1800,1800,1800,1800,1899,1950,2000,2099,2100,2100,2100,2050,2000,2000,2000,2000,2065,2100,2300,2350,2400,2400,2450,2400,2400,2400,2300,2300,2300,2300,2400,2475,2400,2400,2500,2500,2500,2400,2400,2425,2450,2500,2600,2500,2500,2500,2500,2500,2500,2450,2405,2450,2495,2500,2500,2500,2500,2500,2600,2659,2600,2400,2400,2335,2300,2399,2400,2415,2450,2495,2400,2400,2395,2375,2349,2325,2350,2400,2450,2450,2499,2499,2475,2400,2399,2350,2350,2378,2388,2395,2400,2450,2495,2500,2500
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,2000,2000,2000,2100,2075,2147.5,2300,2197.5,2199.5,2200,1950,1950,1900,1900,1900,1900,1875,1875,1900,1900,1900,1900,1900,1925,1950,1975,2000,2000,2000,1999,1950,1899,1900,1950,1900,1954,2000,2000,2100,2200,2300,2250,2200,2200,2200,2250,2200,2200,2200,2200,2250,2200,2200,2200,2250,2200,2200,2132.5,2195,2200,2300,2400,2450,2500,2500,2500,2400,2450,2450,2450,2485,2500,2500,2500,2450,2400,2365,2250,2350,2299,2425,2200,2300,2300,2350,2350,2350,2372,2300,2350,2350,2350,2300,2300,2308,2372,2350,2400,2400,2400,2400,2400,2400,2350,2357,2350,2350,2350,2400,2400,2400,2322,2300,2350,2300
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,1130,1100,1225,1050,1107.5,1174.5,1190,1150,1200,1200,1244,1300,1425,1329,1371,1353,1388.5,1433,1410,1276,1440,1493,1523,1526,1550,1500,1500,1535,1490,1489,1461,1428.5,1400,1400,1500,1517,1500,1459,1450,1475,1480,1472,1429.5,1475,1500,1509,1541.5,1570,1550,1607,1610,1595,1564,1562,1495,1495,1565,1550,1513,1500,1605,1650,1693,1724,1703,1730,1738,1735,1690,1665,1693.5,1695,1700,1749,1720,1715,1770,1781,1775,1780,1725,1745,1751,1733,1702,1719.5,1740,1750,1743,1722,1732.5,1719,1710
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,1500,1550,1500,1550,1500,1500,1500,1580,1500,1500,1500,1580,1600,1600,1625,1700,1750,1790,1750,1700,1790,1750,1799,1750,1800,1800,1800,1795,1850,1801,1900,1900,1900,1895,1800,1850,1900,1900,2000,2100,2195,2250,2295,2300,2200,2250,2200,2200,2200,2200,2300,2300,2300,2295,2300,2300,2299,2250,2200,2250,2200,2250,2250,2300,2300,2300,2300,2250,2275,2250,2275,2300,2300,2300,2350,2350,2350,2395,2350,2300,2350,2250,2200,2100,2200,2200,2200,2200,2200,2200,2181,2150,2100,2150,2100,2100,2100,2175,2200,2200,2200,2200,2200,2200,2195,2150,2175,2200,2200,2200,2200,2200,2200,2200,2200
