"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"California",1,2100,2100,2000,1995,1950,1950,1999,2000,1700,1695,1695,1750,1595,1625,1600,1650,1675,1650,1600,1600,1595,1550,1500,1500,1500,1500,1560,1530,1500,1525,1505,1550,1580,1565,1555,1528,1505,1550,1565,1545,1550,1505,1540,1534.5,1625.5,1640,1528,1695,1700,1639,1605,1678,1795,1800,1800,1800,1850,1895,1895,1912,1920,1950,1965,2000,2000,2025,2045,2087,2100,2100,2150,2150,2169,2195,2200,2200,2200,2199,2244,2188,2250,2118,2195,2150,2200,2295,2310,2350,2355,2352,2370,2350,2350,2330,2300,2300,2300,2320,2340,2395,2400,2400,2436,2450,2400,2400,2416,2410,2400,2405,2425,2485,2495,2495,2500,2500,2500
"Texas",2,,850,995,1025,972.5,995,950,985,900,900,901.5,900,945,932.5,950,925,925,950,930,925,900,895,900,934,950,970,990,950,961,970,970,1000,1015,900,1006.5,1040,1035,995,1025,1044,1055,1050,1075,1040,1100,1128,1150,1139,1155,1110,1105,1150,1130,1135,1115,1119,1119,1121,1120,1115,1125,1126,1127,1170,1173,1190,1179,1189,1185,1180,1250,1249,1251,1248,1289,1265,1257.5,1254,1245,1239,1264,1200,1200,1169,1230,1250,1265,1300,1330,1345,1342,1329,1329,1300,1316,1325,1310,1350,1377,1395,1400,1399,1406,1408,1399,1418,1415,1406,1409,1415,1445,1445,1450,1450,1449,1435,1429
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,2565,2500,2500,2500,2500,2500,2500,2550,2600,2595,2500,2500,2500,2500,2495,2450,2400,2450,2499,2500,2525,2550,2550,2550,2600,2600,2595,2400,2400,2350,2375,2400,2400,2450,2450,2450,2398.5,2335,2300,2300,2300,2295,2300,2399,2450,2450,2475,2450,2400,2350,2300,2300,2300,2300,2325,2395,2400,2450,2429,2445,2400
"Florida",4,,,,,,,,,,,,,,1350,1350,1350,1300,1300,1300,1300,1300,1260,1250,1250,1200,1250,1250,1250,1250,1250,1250,1250,1225,1200,1200,1200,1180,1200,1200,1200,1201,1225,1300,1300,1350,1350,1400,1400,1375,1350,1300,1300,1350,1350,1350,1350,1375,1375,1350,1350,1339,1365,1399,1375,1400,1410,1500,1500,1500,1500,1550,1550,1550,1595,1600,1550,1504,1500,1499,1500,1500,1500,1600,1469,1500,1500,1550,1559,1565,1571.5,1593,1600,1600,1600,1608,1630,1606,1628,1650,1660,1650,1650,1657,1675,1675,1675,1670,1675,1660,1675,1679,1690,1695,1680,1682,1695,1669
"Illinois",5,,,1345,1350,1350,1400,1400,1375,1350,1400,1397.5,1450,1425,1495,1500,1550,1575,1650,1600,1595,1600,1525,1475,1490,1475,1450,1425,1395,1400,1495,1465,1470,1470,1495,1420,1450,1425,1500,1490,1495,1555,1600,1625,1640,1615.5,1549.5,1550,1609,1500,1450,1499,1500,1580,1595,1650,1575,1650,1600,1550,1450,1455,1575,1500,1550.5,1575,1550,1550,1550,1595,1550,1599,1545,1500,1600,1530,1550,1595,1590,1580,1550,1500,1495,1450,1495,1499,1500,1500,1550,1589,1595,1585,1550,1544,1500,1500,1500,1510,1550,1600,1650,1650,1675,1650,1650,1690,1625,1630,1650,1660,1700,1725,1700,1700,1695,1695,1650,1650
"Pennsylvania",6,,,1200,1200,1200,1200,1272.5,1325,1200,1199,1195,1100,1100,1050,1050,1100,1075,1057,1050,1080,1070,1000,1050,1080,1100,1127.5,1150,1195,1200,1200,1195,1150,1107,1100,1095,1050,1033,1050,1095,1100,1175,1195,1113,1100,1100,1060,1050,1075,1050,1050,1050,1100,1175,1185,1150,1100,1100,1095,1095,1095,1100,1100,1160,1195,1200,1200,1195,1150,1100,1100,1150,1145,1199,1200,1200,1210,1250,1200,1200,1195,1144,1150,1100,1125,1150,1195,1200,1250,1255,1250,1250,1250,1250,1235,1219,1202,1200,1210,1250,1299,1300,1300,1300,1284,1250,1275,1279,1294.5,1295,1298,1347,1356,1374,1390,1365,1350,1325
"Ohio",7,,,825,850,850,825,850,817,679,695,692,700,675,675,665,725,739,700,709.5,709,700,695,710,725,750,735,725,695,690,690,680,700,700,705,725,700,689,700,709,700,700,700,690,685,700,700,675,750,700,700,700,711.5,725,725,700,710,745,764.5,795,780,775,800,825,838,850,825,810,805,800,809,850,850,842.5,830,854,875,875,850,850,850,850,850,825,825,850,850,889,899,895,895,895,875,875,875,871.5,875,877,890,900,930,939,930,935,935,920,940,925,910,910,925,955,985,970.5,979,970,975,975
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,700,715,740,740,750,775,775,745,736,750,775,770,770,710,695,744,759,740,750,750,749.5,750,850,850,845,850,850,850,845,850,900,900,895,900,900,900,900,900,900,900,900,950,950,970,900,900,900,930,965,950,937,900,950,975,950,920,1000,975,930,975,1000,955,950,975,995,1000,990,1000,1000,1000,1010,1005,1000,995,995,1000,1050,1100,1075,1065,1070,1050,1069.5,1100,1099.5,1050,1025,1013,1050,1100,1120,1125,1140,1115,1110
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1100,1095,1105,1133,1050,1083,1075,1100,1115,1015,1050,1040,1112,1140,1175,1200,1240,1235,1246,1250,1256,1250,1260,1261,1270,1300,1325,1365,1385,1396,1395,1412,1376.5,1445,1435,1418.5,1425,1445,1460,1500,1490,1473,1453,1450,1450
"North Carolina",10,,800,800,799,800,800,825,800,825,825,800,820,750,775,775,775,750,767,765,765,750,750,750,750,750,775,795,795,785,775,785,800,795,795,795,775,780,800,825,829,825,800,805,795,775,775,759,775,783.5,775,775,795,800,800,800,800,795,799,800,800,800,800,825,850,850,850,850,850,850,850,949,925,935,925,999,990,995,985,1000,1041,1065,975,975,955,1000,995,1000,1050,1100,1109,1137,1120,1119,1105,1124,1105,1104,1160,1177,1200,1225,1217,1205,1229,1215,1228,1242,1218,1215,1235,1254,1295,1295,1295,1301.5,1291,1287
