"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"United States",0,,,1500,1500,1495,1550,1450,1400,1395,1395,1350,1400,1350,1350,1400,1450,1450,1450,1400,1450,1400,1350,1350,1350,1350,1395,1450,1450,1495,1450,1400,1400,1395,1395,1395,1380,1359,1399,1444,1450,1450,1400,1475,1450,1450,1500,1495,1500,1495,1450,1450,1500,1599,1600,1500,1500,1495,1450,1450,1435,1450,1450,1500,1500,1550,1550,1550,1550,1500,1500,1500,1500,1500,1550,1600,1630,1650,1650,1650,1605,1600,1600,1605,1500,1550,1550,1595,1645,1650,1650,1665,1650,1600,1595,1595,1595,1600,1606,1675,1720,1750,1750,1750,1725,1699,1675,1675,1685,1699,1750,1800,1850,1869,1860,1850,1800,1750
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2800,2750,2700,2700,2700,2750,2750,2800,2800,2800,2850,2875,2850,2800,2800,2800,2800,2800,2850,2950,2995,2995,2948.5,2994,3000,3000,2995,2745,2750,2600,2650,2750,2800,2845,2849,2800,2800,2700,2690,2650,2600,2600,2650,2750,2810,2835.5,2850,2800,2700,2695,2650,2600,2600,2600,2650,2729.5,2750,2800,2800,2799,2700
"Los Angeles-Long Beach-Anaheim, CA",2,,,2500,2590,2575,2575,2600,2600,2550,2500,2500,2500,2500,2495,2500,2500,2500,2500,2500,2495,2435,2400,2400,2400,2400,2414,2400,2395,2450,2450,2400,2400,2400,2350,2300,2295,2295,2300,2300,2325,2375,2395,2400,2375,2450,2450,2400,2500,2425,2400,2400,2450,2500,2599.5,2650,2650,2650,2650,2675,2670,2700,2675,2700,2785,2800,2800,2850,2850,2810,2800,2800,2850,2875,2900,2900,2870,2895,2900,2900,2850,2900,2800,2900,2800,2900,2995,3001,3100,3100,3150,3100,3100,3100,3100,3100,3097,3069,3100,3100,3150,3200,3200,3195,3195,3150,3185,3195,3195,3195,3200,3200,3200,3245,3245,3225,3222,3250
"Chicago, IL",3,,1600,1600,1600,1500,1500,1600,1600,1600,1650,1650,1600,1592.5,1600,1645,1700,1750,1695,1700,1695,1650,1600,1550,1500,1525,1595,1600,1575,1595,1600,1600,1600,1600,1599,1525,1550,1550,1550,1600,1595,1650,1650,1700,1650,1600,1600,1600,1625,1599.5,1599,1600,1645,1700,1797,1800,1700,1729,1700,1645,1600,1600,1665,1700,1750,1800,1800,1800,1775,1750,1735,1770,1695,1650,1700,1700,1750,1800,1850,1825,1800,1750,1695,1631,1612.5,1637,1659,1749,1850,1900,1900,1900,1875,1800,1786,1735,1715.5,1750,1800,1850,1950,1990,2000,1995,1945,1887.5,1850,1850,1800,1800,1865,1950,2000,2100,2100,2025,1950,1895
"Dallas-Fort Worth, TX",4,,1195,1225,1300,1250,1250,1212.5,1250,1299,1300,1275,1250,1250,1250,1250,1250,1275,1295,1250,1200,1200,1200,1200,1200,1200,1225,1250,1235,1250,1260,1255,1250,1250,1250,1250,1253,1295,1286.5,1295,1295,1300,1300,1300,1300,1300,1295,1295,1300,1300,1300,1300,1325,1375,1394,1395,1395,1375,1350,1365,1375,1395,1400,1417,1425,1450,1450,1460,1475,1450,1425,1425,1445.5,1450,1450,1495,1495,1500,1500,1500,1500,1499,1495,1495,1495,1500,1545,1550,1595,1625,1650,1645,1600,1595,1550,1585,1575,1590,1595,1619,1650,1650,1650,1650,1650,1645,1645,1626,1625,1650,1650,1675,1695,1705,1700,1700,1695,1695
"Philadelphia, PA",5,,1400,1400,1500,1500,1462.5,1400,1400,1400,1400,1400,1400,1325,1375,1400,1450,1450,1440,1450,1450,1400,1400,1400,1400,1400,1450,1500,1500,1495,1500,1475,1400,1395,1395,1400,1375,1400,1400,1445,1495,1500,1500,1495,1450,1400,1399,1395,1395,1350,1350,1350,1400,1500,1500,1500,1500,1450,1400,1445,1400,1450,1500,1500,1550,1550,1550,1550,1500,1500,1500,1495,1434,1450,1500,1515,1600,1600,1550,1500,1500,1500,1400,1450,1400,1400,1400,1500,1550,1595,1600,1575,1500,1500,1495,1500,1500,1500,1500,1550,1600,1625,1600,1595,1550,1500,1500,1540,1550,1500,1550,1600,1650,1695,1685,1695,1650,1600
"Houston, TX",6,,,,,,,,,,,,,,1350,1350,1350,1300,1300,1265,1250,1250,1225,1250,1250,1250,1250,1272.5,1200,1248.5,1250,1250,1285,1280,1100,1280,1325,1250,1260,1300,1305.5,1355,1295,1360,1350,1400,1400,1422.5,1395,1400,1350,1350,1375,1435,1450,1450,1450,1450,1450,1450,1450,1450,1475,1500,1550,1550,1550,1550,1550,1550,1500,1550,1550,1550,1550,1600,1600,1590,1595,1550,1550,1525,1500,1500,1470,1499,1500,1500,1550,1558,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1595,1600,1600,1600,1600,1575,1550,1550,1550,1550,1550,1580,1600,1600,1600,1600,1600,1599
"Washington, DC",7,,1605,1675,1700,1750,1800,1850,1850,1700,1700,1747.5,1725,1750,1750,1795,1800,1895,1900,1900,1899.5,1895,1850,1810,1844,1800,1850,1850,1900,1950,1955,1950,1900,1900,1900,1900,1900,1900,1925,1950,1950,1919,1908,1950,1980,1995,1995,1950,1950,1900,1949,1942,1950,2050,2050,2061,2050,2000,1999,1995,1975,1975,1995,1995,2000,2034,2100,2100,2097.5,2050,2000,2000,2000,2000,2000,2000,2040,2065,2089,2097,2066,2006.5,2000,2000,2000,2000,2002,2100,2110,2150,2150,2160,2100,2100,2075,2039.5,2000,2022.5,2048,2100,2154,2200,2248,2220,2200,2195,2190,2186,2195,2175,2167,2200,2250,2274,2295,2278,2250,2235
"Miami-Fort Lauderdale, FL",8,,,2500,2500,2400,2400,2150,2000,2200,2200,2000,2100,1900,1900,1900,1900,1900,1900,1850,1850,1850,1825,1800,1800,1800,1800,1800,1795,1800,1820,1800,1800,1795,1795,1795,1750,1785,1800,1800,1800,1825,1850,1900,1900,1900,1900,1900,1900,1900,1900,1875,1875,1950,1900,1950,1925,1950,1950,1900,1900,1900,1950,1977,1999,2000,2000,2099,2100,2000,2050,2100,2100,2100,2150,2176,2100,2150,2150,2100,2050,2095,2100,2170,2000,2100,2146,2150,2195,2200,2200,2200,2200,2225,2240,2200,2215,2240,2214,2225,2290,2290,2295,2253,2250,2250,2250,2269.5,2250,2275,2285,2300,2300,2300,2300,2300,2300,2300
"Atlanta, GA",9,,1000,1050,1100,1100,1100,1100,1100,1100,1050,1000,1095,1000,1000,1000,1050,1050,1050,1000,1000,1000,999,995,995,990,995,1000,990,995,995,995,995,995,990,995,980,975,975,995,995,1000,1000,1000,1000,1000,1000,995,1000,1000,1000,1000,1000,1020,1025,1025,1025,1006.5,1015,1025,1025,1050,1050,1095,1100,1145,1149,1145,1100,1100,1100,1140,1140,1150,1150,1194,1195,1200,1200,1200,1200,1200,1205,1200,1200,1230,1250,1295,1319,1350,1350,1370,1350,1349,1336,1345,1330,1345,1350,1375,1408,1423,1436.5,1437,1430,1400,1400,1400,1400,1401,1410,1445,1480,1500,1495,1495,1495,1490
