"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"California",1,,,,,,,,,,,,,2700,2675,2742.5,2795,2850,2800,2850,2800,2895,2700,2750,2600,2650,2680,2512.5,2500,2500,2500,2500,2450,2350,2300,2300,2300,2350,2300,2300,2300,2395,2437,2400,2495,2450,2350,2450,2450,2395,2400,2400,2600,2600,2695,2695,2650,2650,2700,2650,2695,2732,2800,2850,2900,2995,2995,2995,2950,2900,2850,2800,2895,2992.5,3000,3000,3200,3000,3100,3000,3095,3000,3200,3000,3000,3150,3250,3350,3500,3500,3500,3500,3400,3295,3295,3300,3200,3400,3350,3500,3500,3500,3535,3500,3495,3400,3400,3500,3400,3495,3500,3500,3500,3500,3500,3500,3500
"Texas",2,,,,,,,,,,,,,,2100,2195,2200,2200,2197.5,2100,2100,2000,2000,2000,1995,1995,2000,2000,2000,2000,2100,2025,1995,1990,2000,1950,1937.5,1995,2000,2095,2000,2050,2095,2099.5,2000,2000,2000,2100,2000,1995,1995,2050,2275,2300,2300,2300,2395,2295,2250,2250,2295,2250,2259,2395,2400,2500,2499,2499,2500,2550,2500,2450,2495,2495,2500,2500,2492.5,2500,2500,2495,2599.5,2495,2439.5,2399.5,2400,2397,2445,2500,2500,2499,2500,2495,2500,2500,2500,2497.5,2450,2450,2495,2499,2510,2587.5,2545,2500,2500,2500,2500,2500,2500,2500,2505,2600,2600,2600,2600,2595,2700
"Florida",3,,,,,,,,,,,,,,,,,,3000,3000,3000,3000,3000,3000,2950,2850,3200,3000,3150,3300,3300,3275,3100,3000,3000,2950,2962.5,2950,2950,2900,2900,2700,2900,2800,2985,3000,3000,3000,2900,2900,2800,2850,3000,3000,3200,2800,2800,2750,2800,2800,2800,2750,2700,2850,2800,2800,2795,2800,2700,2700,2800,2912.5,2940,2825,2900,2885,2825,2800,2700,2850,2900,2872.5,3000,2800,2800,2800,2800,2900,2850,2900,2950,3100,3000,3000,3000,3000,3000,3025,3200,3100,3000,3100,3100,3100,3000,3000,3200,3100,3100,3025,3075,3200,3150,3000,3000,3000,3000
"Pennsylvania",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1500,1700,1750,1800,1750,1700,1700,1600,1500,1740,2000,1931.5,1900,2000,1800,1800,1750,1600,1597.5,1550,1495,1700,1865,1800,1800,1900,1900,1950,1800,1700,1650,1600,1550
"Georgia",5,,,,,,,,,,,,,2000,1985,2000,2000,2000,2100,2000,2000,2000,1950,1975,1900,1895,1950,1950,1975,1950,1900,1882.5,1700,1750,1700,1695,1672.5,1650,1700,1700,1700,1700,1700,1680,1700,1660,1600,1625,1600,1550,1567,1600,1750,1700,1700,1709.5,1795,1800,1795,1795,1795,1750,1795,1797,1800,1900,1900,1900,1859,1869,1839,1800,1850,1895,1895,1950,1950,1950,1950,1912,1995,1950,2000,1944.5,1800,1877.5,1900,2000,1995,2000,2000,2000,1995,1950,1950,1995,1950,1950,1995,1995,1995,2090,2000,2000,1995,2000,2000,2000,2000,1985,2000,2075,2100,2095,2095,2100,2095
"North Carolina",6,,,2500,2450,2250,2147.5,1995,2000,2200,2200,2300,2150,1950,1875,1797.5,1782,1850,1895,1850,1850,1775,1692.5,1600,1800,1700,1700,1850,1945,1895,1800,1850,1900,1750,1750,1750,1825,1850,1850,1775,1795,1800,1850,1800,1800,1800,1798,1795,1795,1795,1795,1795,1800,1900,1875,1800,1797.5,1800,1797.5,1850,1895,1895,1895,1875,1825,1875,1895,1800,1795,1897.5,1825,1850,1895,1962.5,1995,2000,1900,1850,2000,1995,1900,1875,1932.5,1845,2000,1990,1997,2000,2000,2000,2045,1995,1995,1999,2000,1995,1995,1975,1995,2045,2035,2100,2100,2100,2100,2100,2050,2100,2100,2100,2100,2100,2147.5,2100,2100,2097,2095
"New Jersey",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3300,3500,3500,3500,3000,3000,2900,2837.5,2750,3000,3000,3200,3700,4000,3750,3500,3200,3000,2899.5,2850,2900,2850,2987.5,3350,3500,3700,3700,3800,3500,3000,2750
"Virginia",8,2250,2000,2197.5,2200,2300,2450,2395,2350,2295,2200,2195,2100,2187.5,2250,2175,2200,2295,2295,2300,2200,2200,2200,2225,2295,2200,2250,2319.5,2400,2395,2400,2339,2250,2200,2200,2200,2200,2200,2300,2325,2325,2300,2395,2450,2387.5,2325,2295,2250,2200,2250,2250,2300,2450,2500,2500,2500,2495,2350,2300,2300,2250,2200,2200,2395,2400,2500,2500,2400,2400,2300,2372.5,2400,2292.5,2250,2297,2250,2385,2300,2400,2500,2450,2470,2400,2300,2440,2325,2375,2425,2500,2600,2500,2500,2500,2500,2450,2500,2400,2375,2400,2499,2500,2550,2550,2500,2500,2400,2500,2495,2425,2400,2447,2500,2600,2650,2700,2650,2650
"Washington",9,,,,,,,,,,,,1612.5,1662.5,1750,1800,1950,1995,1800,1795,1850,1800,1800,1785,1750,1695,1675,1700,1700,1745,1750,1795,1700,1695,1595,1695,1660,1697,1695,1800,1800,1795,1800,1825,1700,1775,1795,1800,1750,1700,1725,1725,1925,1895,1900,1995,1950,1900,1895,1850,1895,1895,1900,1950,1997,1995,1995,2095,2100,2034,1990,1885,1995,1962.5,2092.5,1997,2200,2095,2250,2200,2200,2197.5,2250,2100,2295,2400,2500,2499,2500,2750,2600,2550,2547.5,2400,2390,2295,2267.5,2495,2500,2550,2675,2600,2650,2650,2695,2595,2595,2595,2500,2595,2625,2700,2650,2700,2700,2695,2695
"Massachusetts",10,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3900,3800,3700,3600,3674.5,3500,3600,3700,3900,3850,3800,3800,3800,3800,3800,3650,3600,3700,3600,3900,4200,4000,4100,4150,4000,3950,3850,3800,3850,3900,3800,4000,4200,4200,4000,4000,3995,3800,3800,3750,3600,3500,3600,4000,4350,4375,4300,4200,4100,4000,4000,4000,3995,3800,3700,4000,4475,4500,4400,4300,4300,4250,4200,4100,4050,3900,4200,4500,4650,4750,4595,4500,4475,4300,4200,4200,4000,4000,4300,4800,5000,4900,4800,4650,4600,4500,4450,4300,4300
