"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"United States",0,,1550,1550,1550,1600,1550,1550,1600,1600,1574.5,1600,1500,1495,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1550,1550,1600,1550,1500,1600,1600,1600,1600,1600,1600,1700,1775,1800,1800,1810,1850,1800,1750,1675,1602,1600,1625,1650,1650,1600,1600,1579,1650,1675,1650,1650,1675,1650,1600,1650,1650,1675,1700,1700,1750,1750,1795,1800,1750,1750,1750,1773,1795,1800,1800,1800,1800,1795,1750,1750,1750,1750,1800,1695,1700,1700,1750,1750,1799,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1875,1895,1900,1900,1900,1900
"New York, NY",1,,,,,,,,,,,,,2100,2400,2465,2500,2500,2600,2695,2695,2695,2500,2450,2300,2500,2475,2500,2550,2600,2600,2675,2700,2750,2750,2850,2800,2870,2800,2850,2888,2795,2650,2700,2700,2700,2800,2800,2800,2800,2750,2750,2800,2850,2750,2700,2700,2700,2700,2700,2795,2775,2800,2800,2800,2850,2800,2800,2800,2800,2750,2775,2795,2750,2750,2800,2800,2750,2795,2750,2700,2750,2799,2700,2750,2799,2795,2800,2825,2850,2800,2750,2750,2700,2700,2700,2700,2750,2700,2725,2750,2775,2750,2750,2700,2700,2700,2700,2700,2700,2700,2750,2775,2755,2750,2747,2723
"Los Angeles-Long Beach-Anaheim, CA",2,1950,1950,2000,2000,2000,2150,2200,2187.5,2100,2100,2100,2100,2100,2000,2050,2100,2150,2150,2100,2100,2050,2000,1995,1995,2000,1900,1900,1950,2000,1995,1975,2000,1900,1875,1850,1900,1950,1900,1900,1925,1900,1845,1725,1950,2200,2200,2200,2200,2200,2200,2200,2295,2300,2300,2350,2400,2395,2375,2400,2400,2395,2400,2500,2500,2500,2550,2500,2500,2500,2500,2550,2575,2550,2595,2550,2500,2595,2500,2500,2600,2495,2645,2500,2600,2650,2700,2750,2750,2800,2795,2750,2750,2750,2700,2700,2700,2750,2792.5,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2850,2850,2850,2900,2900,2895
"Chicago, IL",3,,1350,1350,1375,1399.5,1370,1350,1450,1475,1495,1525,1500,1500,1500,1535,1525,1550,1573,1575,1585,1550,1512,1500,1550,1560,1599,1505,1500,1550,1550,1575,1577,1600,1550,1560,1550,1575,1570,1554,1550,1550,1582,1589,1600,1600,1600,1600,1600,1600,1599,1595,1650,1650,1650,1650,1650,1650,1600,1650,1600,1625,1650,1650,1650,1650,1665,1655,1650,1600,1650,1600,1650,1675,1685,1700,1667,1675,1650,1650,1625,1650,1600,1600,1625,1650,1650,1695,1700,1725,1750,1750,1724,1700,1695,1675,1668.5,1695,1700,1700,1730,1754.5,1775,1800,1750,1700,1700,1700,1700,1691,1700,1700,1725,1750,1750,1750,1725
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009.5,895,919.5,969,949,980,1100,1150,1035,1005.5,1180,1195,1180,1095,1095,1052.5,1075,1095,1095,1100,1100,1095,1100,1100,1095,1150,1150,1150,1187,1195,1150,1200,1200,1200,1200,1200,1200,1200,1200,1220,1200,1171.5,1150,1150,1163.5,1110,1150,1195,1150,1235,1250,1275.5,1300,1300,1300,1300,1300,1300,1295,1297.5,1295,1275,1275,1295,1340,1344,1350,1325,1325,1325,1329,1329,1322.5,1345,1300,1332.5,1350,1358,1350,1400,1375,1375
"Philadelphia, PA",5,,1475,1350,1400,1500,1500,1550,1500,1475,1395,1350,1350,1390,1350,1450,1450,1400,1450,1400,1400,1399,1400,1400,1350,1400,1375,1400,1450,1400,1400,1400,1375,1350,1375,1320,1295,1300,1300,1300,1300,1300,1250,1252.5,1350,1415,1400,1400,1385,1395,1400,1400,1450,1450,1475,1450,1450,1450,1450,1400,1450,1450,1475,1500,1495,1495,1475,1475,1450,1450,1450,1400,1450,1450,1475,1500,1500,1495,1495,1450,1475,1450,1450,1420,1450,1475,1500,1550,1575,1550,1550,1550,1550,1500,1500,1500,1500,1500,1550,1595,1595,1575,1550,1550,1550,1550,1550,1550,1525,1575,1600,1650,1625,1600,1595,1550,1550
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,800,800,879,900,900,900,930,950,950,975,950,958.5,1050,1150,1200,1225,1210,1192.5,1229,1219.5,1205,1207.5,1230,1250,1225,1250,1250,1250,1249.5,1250,1250,1250,1225,1227,1400,1390,1350,1346,1333,1325,1303,1319.5,1350,1350,1380,1375,1350,1346,1303,1300,1300,1285,1250,1290,1299.5,1275,1295,1285,1299,1300,1298,1250,1250,1265,1250,1250,1264,1275,1282,1299,1299,1300,1300,1300,1300,1300,1287.5,1279,1299,1296,1282,1295,1300,1265,1300,1300,1300,1300
"Washington, DC",7,1500,1500,1525,1500,1500,1585,1600,1630,1600,1600,1650,1675,1650,1600,1625,1650,1650,1662.5,1650,1690,1690,1675,1650,1650,1650,1700,1725,1700,1700,1750,1700,1750,1750,1750,1700,1700,1704,1750,1725,1700,1750,1750,1750,1750,1750,1750,1745,1700,1700,1700,1700,1750,1750,1795,1795,1750,1750,1750,1750,1750,1750,1795,1795,1800,1800,1799,1800,1795,1750,1750,1790,1795,1795,1800,1800,1800,1800,1800,1800,1800,1790,1750,1800,1800,1800,1825,1850,1850,1875,1900,1895,1850,1850,1850,1850,1850,1850,1850,1900,1950,1950,1950,1925,1895,1895,1900,1900,1900,1942.5,1925,1950,1950,1950,1950,1950,1935
"Miami-Fort Lauderdale, FL",8,,1650,1650,1600,1600,1600,1650,1750,1650,1650,1652.5,1550,1500,1500,1500,1500,1500,1500,1500,1550,1500,1550,1500,1500,1500,1525,1500,1500,1562.5,1525,1550,1525,1500,1500,1500,1500,1550,1595,1595,1600,1650,1700,1682.5,1650,1700,1700,1700,1700,1650,1625,1600,1650,1650,1700,1700,1695,1650,1675,1650,1700,1700,1750,1800,1875,1900,1925,1950,1900,1900,1950,1950,1900,1950,1950,1900,1850,1850,1800,1800,1800,1795,1900,1710,1785,1800,1800,1800,1800,1800,1800,1850,1850,1850,1850,1850,1834.5,1850,1850,1850,1900,1900,1900,1900,1900,1900,1900,1880,1850,1850,1900,1900,1900,1900,1900,1900,1895
"Atlanta, GA",9,,1100,1100,1150,1150,1100,1000,1050,1050,1100,1162.5,1150,1150,1100,1100,1145,1145,1150,1150,1100,1075,1050,1095,1050,1050,975,949,1000,1038.5,1025,1000,1000,1000,1050,1050,1050,1095,1100,1150,1100,1050,1028.5,995,1030,1099.5,1050,1060,1050,1050,1070,1095,1100,1075,1100,1149.5,1150,1150,1150,1000,1075,1090,1100,1195,1200,1225,1200,1225,1225,1250,1289.5,1250,1250,1250,1275,1275,1275,1250,1275,1250,1300,1300,1325,1315,1325,1350,1400,1450,1450,1400,1400,1395,1395,1395,1395,1395,1400,1450,1400,1450,1450,1480,1500,1450,1420,1400,1400,1400,1400,1450,1495,1480,1495,1500,1500,1495,1472.5
