"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1099,1150,1100,1100,1100,1263,1295,1263,1250,1222.5,1170,1100,1122.5,1047.5,1000
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.5,740,788,788,789,789,799,799,799,800,815,850,800,800,800,825,850,800,850,835,815,825,825,799,812.5,800,800,799.5,850,869,869,872,859,850,869
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1200,1300,1299,1300,1300,1300,1250,1285,1200,1162.5,1195,1100,1115,1105,1175,1260,1200,1180,1295,1250,1250,1342.5,1299,1299,1270,1260,1300,1250,1250,1250,1265,1295,1267.5
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,2900,3047.5,3000,3350,3397.5,3300,3495,3525,3675,3500,3650,3500,3300,3200,3215,3100,3254,3395,3500,3600,3499.5,3300,3100,3300,3095,3100,3250,3315,3295,3300,3300,3375,3355,3300,3299,3300,3300,3299,3299,3229,3200,3250,3500,3500,3600,3650,3599.5,3600,3650,3700,3600,3800,3750,3677.5,3700,3795,3700,3670,3700,3670,3695,3695,3695,3735,3775,3750,3797.5,3750,3775,3775,3795,3750,3782.5,3750,3750,3600,3550,3500,3500,3500,3600,3500,3600,3600,3600,3695,3700,3750,3695,3600,3600,3597,3612.5,3600,3600,3500,3500,3500,3500,3599,3600,3600,3600,3620,3650,3600,3600,3515,3512.5,3500,3515,3600,3600,3637,3600
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",5,,,,,,,,,,,,,2625,2595,2595,2595,2600,2695,2795,2800,2900,2700,2700,2600,2695,2650,2650,2695,2695,2695,2700,2700,2795,2800,2850,2800,2800,2750,2795,2700,2600,2495,2600,2800,3000,3150,3155,3100,3100,3100,3150,3007.5,3100,3100,3200,3200,3152.5,3100,3200,3200,3200,3200,3200,3200,3205,3295,3206.5,3210,3250,3230,3200,3200,3230,3200,3200,3200,3100,3100,3095,3000,3100,3100,2999.5,3150,3200,3230,3300,3300,3300,3295,3200,3200,3200,3195,3137.5,3100,3050,3057.5,3100,3100,3200,3190,3150,3100,3100,3100,3100,3100,3100,3100,3095,3150,3150,3100,3100,3200
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,,,,,,,,,,,,,,,,,,,,650,650,625,650,627,650,650,650,650,665,655,695,650,650,650,650,700,650,700,700,700,695,695,690,655,650,650,650,650,650,655,675,695,695,675,650,650,650,675,697,700,740,700,695,675,695,720,725,750,725,725,750,750,750,750,695,699.5,750,700,750,750,800,775,800,785,809,850,850,795,795,800,800,800,800,850,832.5,800,850,850,850,850,875,850,875,850,875,875,850,875,875,922.5,945,950,950,950,950,925
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,800,800,795,750,795,795,795,750,765,750,750,750,750,750,750,765,775,750,785,790,795,795,825,850,890,850,860,850,847.5,825,850,850,800,795,795,795,795,795,795,795,800,800,800,799,800,800,800,800,825,800,825,850,850,850,850,850,850,825,850,850,850,850,850,850,875,900,850,895,900,975,992.5,950,1000,1100,1100,1050,995,975,975,975,995,975,950,950,995,995,995,995,999.5,1000,1000,1012.5,1025,1035,1050,1054.5,1050,1100,1099,1100,1099,1105,1150,1137.5,1125
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135,1125,1150,1147.5,1150,1175,1200,1295,1250,1250,1250,1250,1112,1150,1134.5,1100,1100,1147.5,1134.5,1075,1200,1195,1195,1195,1200,1200,1200,1200,1200,1250,1285,1250,1270,1250,1250,1250,1250,1285,1275,1300,1295,1275,1275,1272.5,1300,1295,1300,1323,1350,1350,1350,1340,1350
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",9,,,,,,,,,,,,,,1350,1390,1362.5,1350,1462.5,1450,1600,1400,1497.5,1500,1550,1500,1500,1495,1495,1550,1550,1600,1625,1595,1600,1650,1575,1650,1695,1695,1755,1750,1795,1755,1675,1750,1712.5,1675,1640,1600,1625,1675,1795,1812.5,1750,1772.5,1750,1725,1772.5,1772.5,1800,1795,1750,1750,1795,1825,1850,1850,1800,1850,1825,1795,1797.5,1800,1800,1675,1675,1772.5,1662.5,1675,1750,1675,1675,1675,1850,1895,1825,1850,1850,1900,1897.5,1850,1850,1837.5,1850,1825,1825,1872.5,1850,1900,1900,1900,1950,1937.5,1900,1850,1850,1872.5,1897.5,1850,1800,1800,1895,1900,1895,1850,1800
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,,,,,,,,,,762.5,775,772.5,795,800,795,775,745,750,747.5,761,775,762.5,775,780,795,799,799.5,799.5,795.5,800,834.5,880.5,795,830,800,805.5,795,825,825,849,849,850,850,850,850,850,825,850,885,870,872.5,870,870,850,850,850,850,850,850,897.5,850,885,950,870,850,860,895,900,885,885,925,900,895,850,870,860,975,935,1044,1047,995,995,987.5,1095,1095,1022,1050,1095,1095,1044,1050,1012.5,1099,1100,1034.5,1034.5,1012.5,1047,1075,1085,950,1025,1000,1095,1100,1162.5,1200,1197,1195
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",11,,,,,,,,,,,780,755,755,795,799.5,795,775,797,795,775,795,725,697.5,750,725,675,700,695,695,750,700,700,725,725,750,725,734,750,725,750,695,695,725,749,788,795,789,776.5,795,800,800,812.5,850,850,800,800,812.5,795,795,795,795,800,825,850,825,850,800,850,800,850,850,837.5,850,850,875,800,850,875,850,850,880,800,850,850,872,877.5,890,895,895,895,950,915,950,920.5,950,985,932.5,950,925,999,980,992,995,1045,995,995,995,1050,1012.5,980,1020,1020,990,975,975,972.5
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",12,,,,,,,,,,,,,,,,,,,,,,,1700,1700,1700,1798,1785,1805,1875,1950,2100,2000,2100,2070,2100,2100,2050,2050,2099,2100,2000,2035,2105,2200,2100,2100,2100,2100,2100,2100,2100,2100,2150,2250,2250,2225,2250,2200,2175,2250,2200,2250,2150,2172.5,2200,2300,2300,2300,2300,2275,2287.5,2275,2300,2350,2300,2175,2400,2200,2150,2300,2300,2275,2100,2200,2200,2197.5,2150,2150,2300,2300,2150,2100,2150,2100,2100,2200,2200,2250,2150,2197.5,2212.5,2237.5,2175,2175,2250,2100,2100,2100,2195,2195,2250,2200,2172.5,2195,2300,2300
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1000,1162.5,1212,1195,1100,1190,1195,1100,1145,1150,1195,1190,1150,1200,1242.5,1200,1200,1200,1200,1200,1100,1140,1170,1200,1167.5,1145,1145,1195,1190,1200,1200,1145,1190,1250,1250,1295
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings County",14,,,,,,,,,,,,,,,,,,,,,,1750,1700,1675,1600,1600,1650,1700,1750,1800,1800,1800,1750,1750,1750,1800,1800,1850,1862.5,1995,2000,2100,2250,2199,2137.5,2187.5,2100,2100,2100,2100,2100,2162.5,2200,2250,2200,2275,2300,2300,2250,2250,2250,2250,2296,2300,2350,2350,2462.5,2500,2425,2500,2466.5,2495,2500,2400,2225,2300,2500,2425,2400,2447.5,2750,2550,2137.5,2100,2100,2225,2275,2250,2300,2300,2212.5,2137.5,2137.5,2099.5,2100,2111,2250,2250,2250,2187.5,2250,2250,2250,2300,2187.5,2100,2175,2300,2137.5,2100,2225,2262.5,2250,2275,2295,2175
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",15,,,,,,,,,,,,,,,,,,,,,3300,2747,2700,2750,2800,2799,2799.5,2800,2895,2895,2950,3147.5,3185,3195,3000,3000,3000,3095,3100,3100,3100,3000,3046,3100,3300,3265,3250,3257.5,3285,3400,3413,3307.5,3375,3395,3413,3500,3500,3475,3350,3485,3405.5,3300,3375,3375,3450,3500,3575,3500,3500,3450,3450,3500,3500,3647.5,3512.5,3400,3250,3400,3300,3200,3372.5,3300,3200,3300,3350,3400,3500,3425,3400,3400,3411,3432.5,3405.5,3257.5,3250,3282.5,3300,3302.5,3200,3300,3300,3405.5,3262,3257.5,3297.5,3230,3200,3395,3282.5,3300,3413,3415,3432.5,3699,3700,3595
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3099,3000,2995,2850,2950,3100,3295,3247.5,3200,3195,3425,3300,3272.5,3272.5,3495,3495,3497.5,3425,3450,3500,3172.5,3250,3172.5,3200,3000,3000,2950,3295,3295,3299,3350,3499.5,3395,3474.5,3422.5,3282,3209.5,3179,3350,3385,3295,3380,3450,3625,3525,3474.5,3375,3200,3266,3308,3233,3372.5,2990,3275,3200,3369,3500,3471,3450,3500
