"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,,2750,2750,2750,2650,2800,2900,2850,2900,2850,2825,2695,2900,2750,2800,2800,2900,2900,3100,3115,3175,3200,3099.5,3100,3217,3250,3200,3200,3100,2925,3200,3300,3350,3470,3500,3400,3380,3350,3350,3400,3400,3400,3350,3362.5,3450,3385,3400,3400,3375,3400,3400,3375,3350,3400,3465,3500,3500,3500,3500,3500,3495,3450,3500,3500,3375,3362.5,3420,3450,3500,3500,3500,3450,3420,3385,3500,3400,3500,3450,3440,3450,3375,3420,3440,3350,3397.5,3350,3287.5,3350,3400,3400,3350,3375,3300,3392.5,3445,3392.5,3375,3380,3262.5,3495,3400,3400,3500,3500
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,1925,1925,1900,1925,2000,2150,2100,2200,2000,1950,1997.5,1997.5,1937.5,1950,1900,1962.5,1900,1962.5,2100,2150,1972.5,1700,1850,1795,1900,1872.5,1912.5,1897.5,1995,2062.5,2100,2100,1995,1850,1850,1795,1750,1775,1762.5,1947.5,1850,1877.5,1900,2000,1910,1850,1800,1890,1750,1850,1750,1825,1900,1962.5,1950,1900,2000,1950
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,4750,4600,4297.5,3900,3650,3500,3395,3300,3400,3495,3563,3555,3500,3400,3300,3400,3300,3295,3444.5,3500,3495,3408,3408,3450,3400,3400,3400,3400,3450,3350,3300,3400,3400,3395,3500,3750,3850,3950,3900,3900,3950,4000,3800,4200,3925,3900,3950,3950,3870,3825,3950,3850,3882.5,3870,3882.5,3850,3925,3875,3950,3895,3875,3950,3995,3950,3950,3950,3870,3850,3792.5,3782.5,3695,3737.5,3695,3750,3810,3800,3800,3850,3950,3950,3950,3795,3750,3797.5,3850,3810,3800,3695,3600,3795,3782.5,3792.5,3800,3797,3800,3870,3870,3797.5,3850,3775,3792.5,3762.5,3795,3800,3800,3775,3762.5
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,1995,2000,2150,1950,1850,1716,1675,1925,1822.5,1800,1800,1912.5,1900,1900,1860,1849.5,1950,1987,2000,1850,1900,1987,2100,2100,2175,2162.5,1965,1900,1890,1800,1750,1750,1777.5,1745,1715,1795,2100,2165,2200,2200,2200,2200,2100,1850,2180,2295,2180,2195,2100,2200,2300,2317.5,2300,2200,2100,2100,2200,2100,2070,2100,2099,2000,1995,2025,2185,2100,2070,2195,2200,2300,2200,2192.5,1922.5,2000,2047.5,2100,2000,2147,2175,2200,2200,2350,2350,2260,2100,2100,2180,2197.5,2185,2000,1900,1865,1950,1950,1995,2050,1900,1925,1995,1950,1950,2000,2192,2180,2150,1990,2000,2000
"10002","New York","NY","New York-Newark-Jersey City","New York County",5,,,,,,,,,,,,,,,,,,,,,,,2575,2625,2750,2700,2550,2750,2795,2750,2600,2600,2675,2800,2850,2800,2800,2800,2800,2800,2834,2900,3000,2800,2700,2800,2775,2800,2700,2787.5,2972.5,2950,2900,2997.5,2995,3200,3000,3250,3250,3300,3050,3100,2700,2725,3195,3000,3295,2975,2900,2700,2700,2908.5,2900,2900,2725,2775,2700,2700,2800,2700,2672.5,2697.5,2695,2900,3250,3195,3100,3200,3112.5,3050,2899,2699,2700,2699.5,2700,2847.5,3000,3150,3000,3100,3000,3047.5,2950,3000,2925,2900,2950,2700,2900,2700,2750,2950,3100,3000,3200,2972.5
"11226","New York","NY","New York-Newark-Jersey City","Kings County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522.5,1550,1575,1545,1612.5,1575,1545,1574.5,1550,1650,1650,1600,1650,1675,1650,1675,1662.5,1700,1775,1800,1762.5,1675,1650,1650,1650,1650,1600,1675,1650
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",7,,,,,,,,,,,,1450,1399,1300,1250,1185,1135,1200,1300,1397.5,1300,1305,1300,1305,1350,1302.5,1300,1250,1200,1300,1395,1375,1362.5,1350,1275,1300,1275,1250,1200,1200,1200,1196,1250,1350,1400,1400,1400,1450,1445,1450,1475,1495,1625,1675,1575,1500,1495,1500,1500,1545,1562.5,1500,1425,1462.5,1550,1675,1675,1500,1500,1500,1500,1600,1550,1550,1500,1500,1550,1550,1500,1545,1550,1495,1500,1562.5,1600,1650,1595,1562.5,1575,1525,1500,1500,1475,1500,1500,1500,1495,1450,1500,1587.5,1600,1550,1500,1495,1450,1450,1450,1450,1462.5,1450,1550,1550,1510,1455,1510,1497.5
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,3800,3500,3987.5,3850,3495,3972.5,4100,4147.5,4247.5,4000,3850,3900,3975,4200,4175,3700,3525,3900,4050,4290,4250,4295,4295,4150,4200,4100,4275,4047.5,3995,3925,4122.5,4200,4300,4200,4422.5,4500,4500,4650,4500
"10016","New York","NY","New York-Newark-Jersey City","New York County",9,,,,,,,,,3250,3325,2850,3200,2899.5,2885.5,2895,2850,2900,3000,3000,2972.5,2950,2950,2900,2900,2995,3000,3017.5,3137.5,3200,3195,3195,3195,3195,3197.5,3100,3050,3082.5,3100,3127.5,3200,3200,3200,3200,3200,3314,3300,3395,3400,3425,3400,3300,3300,3295,3300,3395,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3450,3450,3500,3500,3500,3499,3497,3437.5,3500,3465,3400,3400,3425,3400,3400,3392.5,3300,3400,3400,3477.5,3480,3425,3500,3400,3400,3400,3400,3400,3400,3450,3370,3400,3437.5,3400,3437.5,3500,3450,3400,3400,3400,3350,3314,3297.5,3397.5,3437.5,3425,3400,3500,3500,3499
"37013","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1295,1295,1295,1330,1330,1295,1327.5,1300,1295,1295,1295,1290,1300,1300,1300,1300,1300,1330
