"RegionName","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,2600,2600,2695,2650,2695,2700,2699,2700,2750,2800,2800,2800,2800,2800,2800,2800,2750,2798,2800,2800,2835,2890,2895,2895,2895,2900,2800,2800,2750,2795,2800,2800,2895,2895,2560,2535,2550,2575,2540,2500,2500,2595,2600,2650,2695,2650,2600,2650,2650,2605,2600,2595,2575,2575,2555,2600,2600,2625,2635,2650,2695,2721,2650,2500,2550,2520,2500,2550,2595,2600,2620,2685,2600,2595,2500,2500,2500,2500,2500,2550,2600,2650,2695,2683,2635,2595,2520,2500,2500,2550,2585,2620,2675,2725,2750,2750,2715
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,1587.5,1622.5,1500,1500,1500,1495,1550,1550,1550,1595,1495,1449.5,1450,1475,1500,1495,1550,1547.5,1500,1450,1395,1412.5,1500,1400,1400,1400,1475,1450,1443,1495,1500,1495,1450,1450,1495,1495,1400,1498,1495,1450,1475,1495,1595,1550,1695,1600,1600,1650,1650,1695,1700,1725,1750,1750,1695,1795,1795,1795,1720.5,1762.5,1850,1850,2050,2147.5,2200,2200,2295,2000,2195,1875,1900,1950,1850,1850,1995,2100,2095,2100,2098,2095,2095,2095,2000,2100,2100,2095,1995,2000,2035,2050,2100,2150,2150,2175,2150,2195,2152.5,2150,2195,2150,2195,2195,2195,2195,2195,2195,2200
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206,1275,1310,1375,1400,1250,1200,1200,1195,1229,1295,1236,1200,1120,1147,1100,1180,1200,1150,1200,1200,1200,1180,1166.5,1163,1180,1131,1170,1150,1100,1085,1095,1070,1095,1150,1126,1150,1100,1100,1100,1095,1075,1050,1075,1100,1100,1100,1100,1100,1050,1069.5,1080,1095,1100,1100,1100,1095,1095,1065,1099.5,1100,1072.5,1065,1095
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,1245,1300,1355,1200,1247.5,1251,1345,1400,1450,1384.5,1324.5,1333,1350,1400,1407,1465,1425,1399.5,1400,1400,1395,1400,1327,1295,1300,1400,1500,1500,1500,1500,1445,1490,1470,1495,1500,1560,1500,1550,1600,1600,1595,1610,1599,1560,1599,1647,1600,1540,1543,1550,1504,1561,1696,1620,1650,1673.5,1700,1558,1625,1800,1600,1645,1700,1700,1725,1650,1880,2044,2148,1947,1795,1895,1600,1500,1550,1564,1500,1522.5,1495,1467,1500,1500,1485,1495,1498,1500,1500,1500,1525,1550,1595,1625,1650,1660,1625,1645,1650,1675,1700,1730,1750,1730,1763,1695,1695,1650,1700,1650,1727,1650,1615,1595,1575,1500,1550
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,780,750,725,645,645,650,680,650,695,700,725,750,725,725,640,675,665,645,695,695,700,690,695,709,745,725,746,775,795,849,820,840,850,869,899,925,900,922.5,925,917.5,895,895,875,875,857.5,875,850,875,850,850,850,885,900,902.5,875,875,900,900,855,850,899,900,900,875,995,900,1027,900,950,999,897,950,927.5,905,900,995,1036,1001,995,975,992.5,1000,1000,1010,1079,1077,975,995,950,925,940,950,925,950,950,950,950,950,950,975,985,995,975,950
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1200,1295,1295,1169,1150,1195,1200,1275,1275,1250,1250,1200,1250,1320,1350,1345,1320,1350,1395,1385,1400,1400,1347,1400,1400,1450,1350,1362.5,1400,1400,1450,1412.5,1395,1300,1250,1220,1220,1295,1295,1295,1300,1350,1395,1400,1400,1400,1350,1350,1300,1350,1300,1300,1299.5,1350,1400,1395,1395,1395,1357.5,1325,1380,1400,1400,1397,1380,1350,1395,1350,1385,1330,1300,1300
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,,,,,,,,,,,,,,722.5,750,699.5,774.5,685,625,625,635,625,625,625,650,650,620,625,600,600,625,650,680.5,699,650,650,675,682,675,675,650,650,650,675,650,650,625,600,650,640,650,699.5,695,702.5,700,715,695,695,662,700,690,695,730,732.5,725,725,725,703,705,725,675,675,775,795,795,800,795,819,850,850,844,850,850,850,850,850,850,850,850,895,895,900,895,895,895,875,900,880,895,900,925,900,895,925,925
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,795,850,852.5,935,1095,985,880,895,850,890,807.5,799,795,850,912.5,950,900,905,962.5,930,900,925,995,950,1040,1000,950,997.5,950,975,950,900,1000
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,,,,,,,,1297.5,1250,1325,1299,1250,1295,1297,1282.5,1347.5,1355,1295,1300,1300,1267.5,1200,1250,1200,1150,1195,1250,1275,1299.5,1300,1300,1300,1295,1295,1397,1395,1300,1320,1400,1450,1395,1395,1425,1591.5,1495,1495,1495,1425,1395,1395,1395,1425,1475,1395,1395,1395,1450,1550,1550,1595,1495,1512.5,1595,1605,1695,1695,1595,1650,1595,1525,1525,1595,1595,1500,1500,1625,1695,1650,1650,1662.5,1650,1695,1700,1700,1795,1695,1700,1745,1745,1750,1795,1850,1895,1850,1895,1875,1895,1825,1850,1895,1800,1795,1797.5,1762.5,1775,1754,1795,1795
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297,1129,1200,1150,1295,1210,1300.5,1424,1423,1425,1300,1275,1290,1235,1200,1141,1150,1127.5,1093,1150,1195,1170,1150,1299.5,1397.5,1400,1350,1208.5,1195,1223.5,1200,1200,1150,1275,1299,1332.5,1351.5,1350,1377.5,1357.5,1500,1395,1357.5,1350,1364,1249,1197.5,1195,1080,1097,1095,1100,1095,1095,1189,1095,1050,1137.5,1215,1235,1200,1200,1295,1170,1200,1200
