"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1690,1742.5,1742.5,1800,1880,1824.5,1625,1535,1587.5,1625,1500,1500,1500,1495,1495,1475,1485,1495,1395,1350,1325,1350,1380,1380,1400,1400,1400,1375,1350,1350,1350,1350,1350,1330,1350,1350,1375,1400,1425,1400,1400,1400,1395,1395,1395,1400,1395,1375,1395,1395,1495,1450,1540,1500,1450,1500,1525,1550,1595,1595,1600,1675,1600,1675,1650,1695,1690,1695,1800,1850,1950,1999,2100,2095,2100,1895,1995,1775,1795,1800,1750,1792.5,1850,1950,1995,2025,1995,1995,1995,1950,1950,1995,1955,1950,1895,1950,1950,1995,1995,1995,1999,1995,1995,1995,1995,1997,2025,2000,2000,2050,2050,2050,2050,2076,2095
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,1275,1312.5,1345,1197.5,1247.5,1251,1340,1400,1450,1352,1305,1325,1335,1399,1400,1450,1400,1390,1395,1395,1380,1395,1305,1289,1300,1400,1475,1495,1475,1480,1400,1443.5,1420.5,1461,1475,1530,1495,1500,1582,1575,1557,1595,1561,1525,1555,1600,1564,1500,1500,1517.5,1500,1549,1659,1600,1633,1650,1685,1525,1600,1776,1595,1600,1664.5,1666,1700,1625,1842,1993.5,2127,1893,1743,1865,1574.5,1500,1515,1540,1485,1495,1450,1430,1480,1495,1450,1460.5,1475,1490,1495,1500,1500,1549,1550,1595,1604,1625,1595,1600,1618,1650,1670,1699,1700,1700,1725,1650,1650,1615,1676.5,1625,1700,1630,1595,1575,1550,1495,1515
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,1127,1267,1080,1035,1040,1200,1200,1250,1300,1305,1360,1200,1195,1200,1180,1229,1209,1225,1195,1150,1150,1141,1150,1180,1150,1200,1195,1195,1150,1174.5,1150,1175,1119.5,1150,1100,1095,1075,1075,1062,1095,1145,1128,1144.5,1100,1100,1099.5,1095,1075,1050,1050,1095,1095,1095,1100,1095,1049,1050,1050,1050,1095,1099,1065,1065,1065,1050,1095,1095,1049,1025,1045
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,745.5,769,750,793,737,650,650,650,649,649.5,650,663,660,650,669,650,675,689,707,750,750,725,725,750,750,750,775,725,725,725,749.5,700,700,695,699,725,700,725,775,747,767.5,750,750,775,750,762.5,750,770,785,845,800,799.5,800,775,795,795,750,750,750,842.5,850,875,900,900,900,930,925,900,899,900,875,895,895,900,925,925,925,995,950,925,920,915,900,950,934,950,950,975,995,950,975,995
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,,,,,1337.5,1300,1265,1250,1212.5,1225,1250,1250,1299,1300,1285,1290,1295,1250,1200,1200,1197.5,1200,1199,1200,1244,1260,1295,1295,1295,1250,1250,1300,1272.5,1250,1280,1300,1375,1350,1350,1375,1450,1395,1425,1425,1400,1375,1395,1375,1375,1395,1362.5,1395,1395,1425,1500,1497,1499,1495,1500,1550,1550,1595,1595,1595,1595,1550,1525,1500,1595,1550,1497.5,1495,1595,1600,1650,1650,1650,1625,1650,1682.5,1695,1745,1695,1695,1700,1725,1700,1750,1795,1800,1800,1850,1845,1795,1750,1795,1800,1795,1775,1795,1749,1745,1700,1725,1746.5
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1650,1625,1699,1695,1660,1700,1650,1625,1650,1650,1750,1775,1790,1712.5,1650,1750,1750,1700,1695,1700,1900,1875,1755,1900,1800,1900,1950,1950,1900,1995,1950,1895,1790,1855,1900,2100,1995,2000,1995,1950,2000,2030,2010,2147.5,2197.5,2095,1950,1874,1895,2100,1950,1925,2000,2050,2050,2095,2095,2090,2090,2095,2100,2000,2000,2045,2047.5,1995,2085,2100,2102,2100,2000,2100,2100,2100,2049.5,2050,2035,2095,2100,2095,2095,2150,2195,2135,2095
"Kings County","NY","New York-Newark-Jersey City","36","047",7,1400,1625,1800,1800,1800,1700,1600,1600,1550,1504,1650,1599,1650,1695,1700,1700,1750,1800,1850,1800,1800,1800,1800,1845,1850,1900,1900,2000,2000,2135,2187.5,2100,2000,2000,2000,2000,2000,2000,2000,2199,2220,2295,2350,2400,2300,2300,2300,2250,2200,2250,2300,2400,2450,2450,2500,2500,2500,2500,2445,2450,2500,2500,2599,2700,2600,2500,2595,2595,2600,2595,2518,2506,2500,2500,2500,2500,2550,2595,2575,2600,2750,2650,2399,2400,2400,2400,2400,2475,2500,2500,2545,2500,2475,2400,2400,2399,2395,2400,2475,2500,2550,2600,2600,2550,2500,2495,2450,2450,2475,2495,2500,2500,2550,2598,2600,2600
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,,,,1500,1500,1475,1475,1495,1500,1550,1599,1500,1500,1600,1550,1595,1500,1375,1400,1450,1450,1500,1550,1600,1600,1650,1900,2000,1950,1900,1950,2000,2100,2100,2150,2200,2250,2000,2100,2000,2100,2000,1850,1900,1900,1990,2000,2000,1900,1975,2000,1950,1950,2000,2000,2016,2100,2100,2150,2000,2050,2150,2100,2000,2000,2100,2150,2050,2000,2050,2100,2100,2200,2200,2200,2200,2250,2200,2200,2200,2250,2205,2250,2300,2300,2299,2200,2200,2200,2174,2150,2100,2150,2200,2174,2200,2200,2200,2100,2100,2000
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1150,1050,1200,1080,1169,1349,1413,1425,1275,1245,1295,1229,1152.5,1099.5,1085,1062,1025,1090,1141,1145.5,1150,1282.5,1320,1395,1284,1200,1195,1205,1180,1195,1100,1275,1300,1300,1350,1350,1375,1395,1452.5,1366,1322.5,1325,1296,1217,1200,1195,1095,1100,1097,1100,1095,1095,1195,1100,1100,1200,1200,1225,1200,1200,1250,1190,1195,1197
"Queens County","NY","New York-Newark-Jersey City","36","081",10,1625,1625,1650,1600,1650,1600,1600,1600,1600,1597.5,1600,1600,1600,1600,1600,1600,1600,1600,1625,1600,1600,1600,1600,1600,1600,1600,1650,1650,1655,1700,1725,1725,1750,1700,1700,1700,1700,1700,1700,1725,1800,1878.5,1900,1950,1995,1925,1950,1950,1925,1900,1975,2150,2150,2150,2075,2095,2100,2100,2050,2050,2000,2050,2050,2100,2150,2195,2200,2200,2200,2200,2200,2200,2200,2225,2245,2295,2295,2300,2300,2300,2300,2300,2150,2150,2100,2100,2125,2150,2200,2200,2250,2200,2200,2185,2150,2145,2150,2200,2200,2200,2228,2275,2300,2300,2250,2200,2200,2200,2200,2250,2250,2250,2256,2300,2300,2299
