"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,1800,1795,1750,1800,1800,1800,1850,1940,1900,1850,1890,1831,1800,1875,1900,1900,1925,1950,1995,2000,2000,1950,1900,1905,1950,2050,1750,1800,1750,1795,1800,1845,1850,1825,1787,1750,1700,1662,1650,1650,1700,1750,1800,1800,1825,1850,1800,1795,1750,1749,1715,1755,1788,1825,1850,1875,1900,1900,1800,1750
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,2500,2550,2595,2600,2600,2650,2695,2700,2700,2699,2700,2700,2700,2650,2700,2750,2750,2795,2800,2800,2800,2800,2850,2750,2750,2700,2700,2750,2800,2850,2850,2500,2500,2500,2500,2500,2490,2495,2500,2500,2600,2600,2600,2550,2600,2600,2575,2500,2500,2500,2500,2500,2500,2550,2597.5,2599,2599,2600,2650,2600,2450,2500,2495,2450,2500,2500,2500,2550,2595,2500,2499,2450,2400,2400,2400,2418,2499,2500,2567,2600,2595,2530,2500,2493,2450,2450,2475,2500,2500,2580,2600,2620,2625,2600
"Los Angeles-Long Beach-Anaheim, CA",2,,1750,1797.5,1695,1742.5,1877.5,1795,1695,1650,1650,1650,1550,1550,1545,1500,1500,1495,1495,1525,1495,1400,1395,1395,1395,1400,1430,1405,1400,1395,1400,1400,1400,1395,1392.5,1363,1400,1400,1400,1450,1475,1450,1450,1450,1450,1450,1425,1495,1450,1402.5,1425,1450,1550,1545,1598.5,1575,1549,1575,1595,1600,1600,1600,1675,1695,1630,1695,1695,1750,1700,1750,1850,1875,1950,2000,2100,2100,2100,1912,1995,1795,1800,1850,1795,1795,1875,1995,1995,2048.5,2000,1995,1995,1975,1950,1995,1990,1995,1925,1950,1975,1995,1995,1999,1999,2000,2000,1995,1995,2000,2025,2000,2000,2050,2050,2095,2095,2095,2095
"Chicago, IL",3,,1250,1295,1300,1150,1097.5,1200,1300,1345,1394,1350,1300,1300,1317.5,1395,1400,1450,1400,1380,1395,1377.5,1353.5,1355,1295,1255,1295,1350,1400,1447,1435,1450,1380,1400,1400,1448.5,1450,1500,1475,1495,1550,1550,1545,1570,1548,1500,1530,1600,1544,1495,1497,1500,1495,1519,1650,1585,1600,1625,1650,1500,1575,1754,1576,1595,1650,1650,1680,1600,1800,1904,2095,1849,1700,1828.5,1550,1477,1500,1500,1475,1475,1445.5,1400,1450,1467,1400,1450,1450,1460,1475,1495,1495,1500.5,1550,1585,1595,1600,1565,1595,1600,1625,1650,1695,1699,1695,1700,1625,1636,1600,1650,1600,1691,1600,1590,1550,1540,1475,1500
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,850,870,874,870,870,870,869,850,850,850,830,795,897,950,975,988.5,990,950,825,795,795,795,810,825,825,820,832,844,850,865,895,900,910,925,900,975,1111,1100,1115,1100,975,979,940,1022,995,1005,1135,1231,1202,1120,1100,1100,1075,975,925,950,915,950,965,975,995,1050,1075,1095,1100,1095,1079.5,1095,1100,1045,1050,999,1100,1100,1100,1125,1150,1150,1150,1183,1195,1150,1131,1145,1127,1150,1150,1100,1100,1145,1150,1127,1100,1127.5,1142.5,1100,1111,1137.5,1150,1150,1150,1195,1195,1179,1195
"Philadelphia, PA",5,,950,895,950,900,900,937.5,950,1000,1000,999,950,950,950,985,975,950,950,995,1075,950,925,900,950,1000,1075,1000,1000,995,975,950,950,925,925,915,935,964,1000,1025,1149.5,1200,1150,1150,1100,1095,1110,1100,1050,1050,1090,1100,1200,1200,1195,1200,1150,1175,1200,1200,1200,1200,1250,1275,1281,1300,1295,1200,1250,1250,1300,1250,1250,1200,1250,1300,1300,1250,1250,1195,1150,1175,1197.5,1200,1195,1200,1250,1295,1300,1300,1300,1275,1262.5,1250,1250,1200,1200,1200,1250,1295,1300,1295,1295,1275,1225,1250,1300,1295,1295,1300,1300,1300,1299.5,1300,1275,1250,1250
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127,1243,1085,1045,1055,1200,1200,1214,1263,1245,1300,1150,1142.5,1150,1150,1200,1175,1115,1099.5,1125,1100,1100,1115,1150,1100,1172,1145,1170,1100,1126,1100,1126,1099.5,1107.5,1100,1050,1050,1050,1000,1050,1095,1095,1095,1073,1073,1076.5,1068,1050,1050,1063,1068,1067,1068,1068,1068,1028,1025,1000,1022.5,1050,1050,1047.5,1050,1050,1050,1080,1077.5,1050,1025,1065
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,,1885,1890,1940,1910,1600,1600,1550,1500,1550,1500,1550,1580,1593,1593,1595,1617,1650,1650,1617,1600,1675,1650,1600,1600,1600,1600,1607.5,1650,1675,1675,1650,1650,1644.5,1650,1650,1650,1656,1695,1700,1700,1700,1700,1690,1685.5,1725,1750,1750,1795,1755,1795,1950,1801,1900,1700,1645,1650,1670,1715,1738,1700,1750,1772,1795,1800,1800,1799.5,1720,1715,1695,1725,1795,1750,1750,1750,1800,1800,1800,1800,1850,1850,1850,1850,1871.5,1850,1850,1900,1950,1999,1999.5,1995,2000
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,1300,1300,1300,1300,1300,1300,1350,1395,1400,1350,1330,1350,1300,1325,1300,1250,1275,1275,1300,1300,1350,1380,1350,1400,1500,1600,1600,1600,1650,1700,1700,1700,1700,1700,1800,1625,1600,1575,1600,1700,1626,1675,1650,1700,1750,1650,1600,1650,1677.5,1650,1650,1650,1700,1750,1800,1775,1800,1750,1785,1800,1800,1700,1750,1890,1900,1800,1800,1800,1850,1850,1900,1890,1874.5,1900,1900,1850,1850,1850,1900,1850,1855,1900,1900,1900,1850,1875,1860,1850,1850,1824,1850,1850,1875,1900,1900,1884,1800,1850,1800
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995,1000,1000,997,1000,1000,1000,1050,1050,1050,1050,1000,1100,995,1000,1000,950,934.5,960,1000,1050,1075,1100,1200,1200,1205,1200,1250,1050,1000,950,985,1000,1078,1150,1175.5,1200,1196,1165,1100,1100,1100,1101,1200,1100,1150,1201,1200,1200,1240,1250,1250,1195,1101,1100.5,1128.5,1244.5,1272.5,1195,1200,1134,1100,1150,1165
