"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197.5,995,995,1025,1085,1150,1049,995,1050,1050,1050,962.5,999,1172.5,1050,950,975,1095,1195,1105,1295,1290,1100,995,997.5
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",2,2632.5,2422.5,2450,2525,2725,3212.5,3400,3200,3200,2800,2605,2695,2750,2800,2800,3000,2900,3095,3095,3095,3140,3000,3095,3000,3065,3095,3100,3000,3200,3230,3300,3300,3100,3090,3000,3150,3100,3199,3217,3200,3200,3299,3395,3295,3300,3300,3295,3300,3300,3300,3300,3300,3300,3300,3295,3300,3295,3250,3300,3300,3350,3200,3290,3300,3300,3375,3350,3350,3300,3295,3295,3300,3300,3290,3295,3250,3192,3250,3350,3300,3184.5,3199.5,3200,3175,3175,3199,3200,3250,3300,3300,3300,3250,3250,3292.5,3246,3195,3151.5,3250,3250,3232,3200,3300,3300,3295,3300,3300,3300,3350,3395,3365,3300,3300,3400,3495
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2125,2197.5,2245,2245,2200,2195,1950,1795,1975,1900,2000,2200,2000,1997.5,2000,2100,2222,1925,1895,1895,2000,2175,2195,2150,2197.5,2150,2250,1995,2100,2200,2099,2047.5
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,2350,2395,2300,2462.5,2485,2500,2450,2495,2495,2500,2550,2595,2600,2595,2595,2595,2595,2595,2600,2650,2600,2650,2695,2700,2775,2750,2700,2700,2750,2732.5,2750,2725,2700,2700,2750,2800,2750,2700,2695,2700,2750,2795,2795,2800,2725,2700,2700,2700,2750,2750,2700,2800,2800,2800,2700,2750,2750,2800,2850,2800,2750,2725,2750,2767.5,2800,2795,2757.5,2700,2700,2700,2700,2700,2700,2695,2700,2750,2750,2750,2750,2750,2750,2787.5,2799,2775,2786,2750,2745,2700,2700,2675,2700,2750,2750,2750,2750,2795,2750,2795,2799,2800,2775,2799,2800,2850,2850,2800,2800
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,650,625,650,675,720,695,675,675,675,695,715,695,700,750,750,762.5,750,750,695,725,762.5,800,800,810,750,775,812.5,825,837.5,797.5,797.5,800
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2212.5,2295,2322.5,2372.5,2400,2250,2300,2350,2500,2500,2450.5,2300,2300,2225,2250,2500,2500,2250
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",7,,,,,,,,,,,,,,1600,1600,1500,1483,1470,1450,1471,1500,1500,1500,1500,1600,1600,1600,1592.5,1600,1600,1600,1600,1550,1550,1600,1550,1550,1600,1600,1600,1525,1500,1500,1545,1550,1500,1550,1550,1550,1600,1600,1600,1650,1682.5,1662.5,1650,1700,1750,1750,1799.5,1774,1800,1800,1900,1850,1700,1697,1800,1800,1850,1900,1900,1900,1800,1800,1850,1895,2000,1800,1900,2000,1895,2000,2000,2095,2099,2099.5,2000,2000,1950,1950,1912.5,2015,2100,2108,2199,2150,2174.5,2150,2195,2200,2100,2150,2100,2100,2100,2100,2199,2200,2200,2199,2197,2197.5,2200
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",8,,,,,,,,,,,,,1475,1450,1450,1469,1500,1575,1475,1550,1525,1525,1550,1525,1500,1480,1650,1650,1699.5,1650,1625,1595,1655,1645,1650,1650,1650,1675,1665,1695,1699,1750,1700,1700,1700,1700,1700,1700,1750,1799,1800,1800,1850,1895,1900,1850,1895,1900,1900,1925,1900,1900,1950,1950,1995,1975,1950,1950,1950,1900,1950,1995,1995,1995,1900,1925,2000,1912.5,1900,1995,1900,2097.5,2000,2000,2047,2100,2100,2175,2100,2000,1999,1995,1995,2000,2000,2010,2050,2095,2100,2100,2150,2147.5,2150,2154,2097.5,2037,2050,2000,2050,2150,2200,2150,2150,2150
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,795,839,775,800,795,775,730,780,795,797,799,825,800,850,825,812.5,825
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",10,,,,,,,,,,,,1600,1600,1600,1700,1800,1890,1800,1800,1930,1800,1850,1800,1875,1807.5,1875,1987.5,2105,2150,2250,2232.5,2050,2000,1950,1950,1969,1950,2095,2095,2125,2122.5,2150,2200,2136,2100,2143,2152.5,2155,2200,2300,2252.5,2300,2400,2350,2375,2300,2300,2295,2295,2250,2295,2300,2300,2299.5,2342.5,2325,2300,2349,2300,2300,2295,2300,2300,2300,2300,2350,2400,2400,2347.5,2400,2200,2250,2200,2200,2200,2200,2300,2300,2350,2275,2200,2200,2200,2195,2200,2200,2200,2200,2200,2250,2295,2295,2200,2200,2195,2200,2200,2200,2250,2300,2300,2350,2400,2375
