"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"California",1,1712.5,1585,1650,1597.5,1650,1650,1650,1500,1485,1495,1499,1250,1250,1250,1250,1275,1250,1250,1200,1195,1195,1195,1195,1250,1275,1275,1270,1265,1200,1150,1150,1100,1150,1150,1150,1160,1175,1200,1200,1200,1195,1200,1200,1200,1250,1270,1250,1250,1250,1250,1275,1350,1295,1349.5,1295,1295,1295,1295,1300,1350,1350,1395,1450,1445,1495,1450,1500,1495,1495,1650,1700,1750,1819.5,1895,1895,1925,1750,1800,1650,1695,1695,1685,1695,1750,1800,1825,1895,1895,1850,1850,1850,1850,1895,1875,1875,1850,1850,1870,1900,1925,1900,1900,1925,1900,1900,1900,1925,1975,1950,1975,1995,1995,1995,1995,1995,1995
"Texas",2,,850,850,850,895,825,850,850,850,875,850,850,850,850,850,855,850,825,825,820,805,799,775,875,950,950,912,960,875,800,795,795,785,794,792,795,795,800,825,845,860,900,927,1019,1017,1044,995,1085,1025,1021.5,1035,990,945,935,1000,995,1005,1011,1000,1000,995,955,995,950,900,895,895,895,899,900,899,900,900,950,950,950,975,975,988,995,950,950,930,960,950,975,990,995,995,995,983,975,976,955,975,970,995,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1025,1050,1050,1075,1050,1025,1050
"New York",3,,,,,,,,,,,,,,,,,,,,,2500,2595,2500,2595,2600,2600,2600,2650,2700,2700,2700,2700,2725,2700,2707.5,2695,2750,2750,2760,2800,2825,2800,2800,2850,2895,2795,2756,2700,2750,2795,2800,2850,2850,2500,2500,2500,2500,2500,2495,2499,2500,2500,2600,2650,2600,2550,2600,2600,2595,2500,2500,2500,2500,2500,2525,2550,2600,2600,2600,2625,2690,2600,2450,2500,2495,2475,2500,2500,2521,2560,2599,2525,2500,2450,2400,2400,2400,2450,2500,2525,2595,2600,2600,2550,2500,2492,2450,2450,2475,2500,2528,2595,2600,2640,2650,2600
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1550,1450,1400,1400,1450,1500,1450,1500,1450,1500,1500,1400,1400,1400,1400,1400,1400,1400,1450,1500,1550,1575,1650,1550,1595,1550,1500,1500,1550,1650,1650,1575,1600,1550,1600,1600,1600,1600,1600,1650,1624,1600,1600,1600,1650,1600,1650,1700,1650,1650,1600,1600,1650,1600,1600,1650,1650,1695,1675,1700,1675,1650,1600,1600,1595
"Illinois",5,,1250,1295,1300,1150,1095,1197.5,1299.5,1345,1384.5,1350,1300,1300,1315,1395,1399,1440,1400,1375,1390,1375,1350,1350,1275,1250,1275,1350,1400,1425,1415,1430,1350,1388.5,1350,1408.5,1400,1475,1445,1450,1520,1515,1504.5,1550,1525,1498,1508,1580,1505,1461,1480,1497,1469,1500,1631,1560,1599,1600,1630,1450,1513,1735,1551.5,1559.5,1606,1600,1650,1550,1765,1850,2000,1784,1650,1797,1500,1430,1475,1495,1450,1450,1400,1395,1400,1450,1385,1400,1400,1413.5,1425,1450,1450,1495,1500,1525,1550,1550,1500,1545,1575,1595,1600,1650,1654,1650,1679,1595,1600,1570.5,1620,1590,1650,1595,1550,1500,1500,1444.5,1490
"Pennsylvania",6,825,850,835,875,800,850,850,850,895,900,885,825,800,850,850,850,850,800,850,850,800,800,820,875,895,875,850,875,875,857.5,850,825,800,800,800,825,850,900,925,950,950,930,935,925,900,950,925,900,900,900,925,975,975,950,900,905,905,950,925,950,945,975,1000,1000,1000,1050,995,995,960,1000,975,975,975,995,1000,1050,995,995,900,900,895,899,900,900,950,975,1000,1000,1000,1000,975,975,975,995,995,990,975,998,1025,1000,1000,995,950,900,950,975,975,995,995,1000,1045,1000,1000,975,950,950
"Ohio",7,,,,,,,,725,725,700,700,650,650,625,645,625,625,600,625,625,650,600,585,599,625,600,595,600,599,577.5,580,595,595,595,575,560,565,575,595,575,575,575,579.5,595,595,599,600,575,589,595,599,599,595,599,599,600,619,600,600,600,600,635,650,650,635,600,600,622.5,609.5,625,650,650,650,675,675,699.5,650,650,695,625,677,650,680,650,682.5,700,700,700,695,695,695,700,700,700,700,700,695,700,700,700,707,712,700,709,715,725,720,720,704,700,725,742,700,700,700,700
"Michigan",8,,,,,,,,,,,,697.5,700,675,682.5,650,690,695,677.5,650,625,600,600,625,629,645,650,649.5,625,625,625,625,625,625,600,600,625,625,609.5,625,600,617.5,625,650,670,681,650,675,695,700,700,725,700,700,750,750,700,700,699.5,700,695,700,700,700,725,725,720,740,750,745,750,733.5,731,750,775,707.5,750,822.5,775,750,750,800,745,725,750,782.5,800,799,795,769,769,800,795,785,800,879,795,795,795,800,775,795,799,795,795,800,800,795,789,782.5,800,800,850,850,869,850
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,910,850,854,875,780,699,700,682.5,695,689,689,685,682.5,695,700,700,720,750,775,845,875,865,925,925,900,945,950,900,850,850,875,900,875,850,850,850,850,850,850,850,825,787.5,795,765,769,775,800,800,850,850,870,995,1000,1050,1050,1050,875,835,845,800,850,895,945,925,950,946.5,950,915,869,895,875,895,850,900,963.5,950,950,1000,1050,1025,975,949,925,900,965,999,950,950,925,930,950,965
"North Carolina",10,575,615,600,675,612.5,625,650,675,650,637.5,725,685,704.5,710,700,700,700,695,700,700,695,685,675,675,699,720,715,700,700,690,685,685,682.5,675,650,675,675,680,715,700,695,675,675,695,707,700,700,700,700,708,729,727,725,738.5,745,700,700,700,700,700,700,695,710,695,700,695,687.5,695,675,683.5,695,695,700,725,750,750,775,775,741,775,725,725,719.5,700,750,727,753.5,775,775,775,750,750,750,750,775,795,750,750,770,795,782.5,785,795,779,795,800,800,795,795,800,800,825,846,795,795,800
