"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,2750,2587.5,2637.5,2600,2750,2775,2775,2750,2800,2775,2775,2700,2695,2795,2800,2895,2800,2885,2800,3000,3108,3297.5,3125,2950,2975.5,2995,3100,3195,3200,3225,3200,3200,3200,3250,3200,3200,3250,3217.5,3250,3295,3250,3200,3190,3000,3190,3150,3100,3150,3140,3197.5,3195,3195,3122.5,3108,3095,3100,3190,3195,3199,3194.5,3155,3182,3190,3050,3050,3200,3200,3095,3202,3295,3200,3000,3195,3088,3100,3100,3095,3060,3200,3239,3295,3200,3100,3106,3145,3100,3050,3050,3133,3200,3231.5,3168.5,3195,3200,3238,3200,3250,3295,3295,3350,3357.5,3295,3297,3350,3480
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,1195,1175,1247.5,1350,1300,1270,1275,1295,1270,1310,1422.5,1482.5,1400,1450,1475,1575,1595,1445,1575,1525,1550,1475,1500,1525,1500,1525,1500,1450,1390,1460,1395,1350,1415,1400,1468.5,1490,1450,1495,1525,1500,1500,1425,1400,1525,1525,1525,1555,1545,1550,1645,1675,1745,1695,1500,1525,1473.5,1475,1475,1475,1525,1595,1585,1595,1650,1550,1477.5,1450,1500,1432.5,1450,1460,1505,1567.5,1565,1600,1620,1595,1575,1575,1550,1495,1500,1595,1585,1595,1595,1675,1675,1650,1550,1477,1495,1500,1495,1580.5,1430,1550,1600,1596,1595,1525,1450,1450
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,3000,2880,2835,2950,3000,3100,3050,3397.5,3195,3295,3140,3195,3300,3200,3200,3195,3200,3250,3295,3200,3350,3300,3346,3350,3200,3200,3100,3250,3200,3200,3300,3300,3397,3495,3500,3400,3400,3400,3400,3440,3450,3450,3495,3416,3500,3440,3400,3455,3400,3375,3450,3495,3500,3300,3300,3400,3450,3455,3300,3300,3300,3250,3295,3300,3354.5,3300,3275,3300,3250,3300,3359,3300,3238,3170,3250,3200,3200,3250,3300,3400,3323,3300,3424.5,3376,3337.5,3387.5,3354.5,3200,3200,3299.5,3299,3250,3200,3395,3345,3299,3290,3295,3300,3300,3434.5,3429,3400,3275,3405.5,3495
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,1425,1400,1395,1500,1500,1575,1500,1425,1550,1585,1652.5,1650,1625,1585,1600,1600,1700,1800,1775,1637.5,1597.5,1694.5,1600,1595,1650,1694,1700,1700,1835,1799,1800,1692.5,1668,1595,1668,1670,1730,1695,1650,1663.5,1650,1785,1725,1750,1800,1895,1985,1895,1945,1850,1687.5,1750,1875,1950,1885,1895,1800,1800,1945,1973,1900,1971,1900,1895,1900,1950,1803.5,1647.5,1727.5,1550,1650,1595,1680,1700,1750,1750,1800,1860,1940,1897.5,1875,1800,1800,1891,1850,1800,1850,1900,1950,1950,1895,1795,1700,1750,1775,1800,1995,1740,1950,1975,1935,1850,1795,1795,1745
"10002","New York","NY","New York-Newark-Jersey City","New York County",5,,,,,,2400,2297,2300,2350,2397.5,2595,2485,2512.5,2512.5,2495,2500,2525,2547.5,2600,2600,2600,2600,2595,2600,2750,2825,2650,2595,2600,2695,2700,2750,2785,2780,2750,2750,2800,2790,2750,2750,2700,2795,2795,2795,2895,2950,3095,3075,3000,3075,3100,2995,3000,2995,2995,2950,3150,3150,3199,3295,3100,3095,3000,3100,3100,3092,2997.5,2995,3389,3095,3200,3220,3000,3200,2995,2900,3200,3050,3085,3200,3200,3200,3198,3100,2995,2950,2895,2860.5,2900,3000,3100,3199.5,3195,3200,3262.5,3295,3295,3275,3237.5,3172.5,3106,3250,3400,3500,3524,3370,3495,3500
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",6,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1175,1150,1262.5,1300,1275,1200,1285,1275,1250,1250,1250,1250,1250,1200,1200,1250,1250,1250,1250,1200,1225,1250,1300,1300,1250,1295,1300,1300,1300,1300,1300,1302,1354.5,1400,1400,1400,1400,1400,1400,1400,1400,1425,1450,1400,1400,1450,1400,1450,1450,1475,1450,1450,1495,1495,1500,1500,1500,1500,1550,1525,1550,1525,1525,1550,1625,1600,1550,1625,1675,1700,1695,1600,1700,1675,1700,1675,1650,1700,1625,1650,1750,1757.5,1740,1750
"11226","New York","NY","New York-Newark-Jersey City","Kings County",7,,,,,,,,,,,,,,1487.5,1400,1385,1297.5,1297.5,1350,1297.5,1400,1400,1400,1350,1399.5,1375,1500,1550,1497.5,1500,1499,1600,1700,1700,1750,1700,1600,1550,1600,1650,1650,1650,1675,1750,1750,1775,1750,1750,1800,1800,1795,1750,1757,1800,1850,1950,1850,1825,1899,1875,1950,1900,1900,1900,1900,1900,1900,1925,1975,1995,1950,2100,1900,2000,1847.5,1900,1900,1937.5,1950,1970.5,2000,2050,2000,2000,2000,1950,1950,1999,2000,1996.5,2000,2004,2150,2199,2250,2150,2100,2050,2099,2100,2165,2150,2200,2200,2250,2250,2199,2250
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",8,,,,855,852.5,895,885,875,850,850,845,815,815,945,895,995,985,995,1025,1050,995,1022.5,1085,995,1145,1165,1105,1110,1125,1150,1100,1100,1100,1125,1125,1175,1160,1165,1150,1175,1150,1175,1175,1175,1160,1195,1195,1200,1195,1250,1200,1195,1200,1195,1195,1200,1225,1297.5,1295,1225,1225,1280,1250,1232.5,1290,1350,1350,1300,1310,1280,1195,1245,1230,1195,1145,1200,1295,1295,1350,1350,1350,1325,1350,1300,1320,1295,1355,1395,1429,1420,1450,1475,1495,1450,1350,1350,1297.5,1300,1395,1425,1395,1395,1425,1427.5,1400,1365,1360,1350
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3725,3600,3372.5,3200,3400,3600,3650,3650,3800,3725,3900,3900,3950,4000,3900,3775,3850,3850,3825,3995,4000,3900,3772.5,3750,3600,3947.5,3875,3626.5,3995,4340,3695,4000,3500,3625,3495,3555,3625,3497.5,3495,3450,3400,3552.5,3500,3422.5,3350,3325,3200,3122.5,3472.5,3350,3495,3497.5,3500,3500,3495,3450,3600,3500,3525,3495,3500,3695,3597.5,3500,3577.5,3697.5,3700,3600,3555,3790
"10016","New York","NY","New York-Newark-Jersey City","New York County",10,,,,2500,2550,2700,2750,2800,2850,2897.5,2900,2900,2900,2995,2900,2900,2900,2900,2900,3070,3050,3050,3144.5,3150,3150,3150,3050,3000,3000,3000,3000,3100,3100,3150,3195,3195,3175,3100,3100,3080,3100,3125,3150,3200,3200,3450,3421,3395,3375,3400,3435,3395,3397.5,3495,3450,3400,3424.5,3400,3395,3350,3341,3328.5,3295,3250,3295,3300,3300,3350,3300,3300,3300,3325,3400,3300,3300,3200,3275,3300,3369,3400,3395,3400,3425,3424,3400,3300,3300,3300,3300,3300,3387,3450,3495,3460,3472,3400,3495,3450,3495,3490,3495,3453.5,3453.5,3495,3500,3595,3600,3595
