"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1850,1850,1900,2000,2050,2000,2000,1800,1835,1800,1850,1695,1675,1670,1750,1800,1800,1825,1800,1745,1595,1475,1450,1495,1540,1590,1595,1595,1590,1585,1595,1600,1610,1602,1550,1550,1636,1669,1651,1695,1650,1654,1650,1695,1700,1595,1700,1700,1665,1650,1695,1795,1800,1850,1860,1876,1895,1900,1925,1950,1965,1995,2000,2030,2079.5,2095,2100,2100,2100,2100,2100,2155,2195,2200,2195,2195,2195,2190,2100,2175,2100,2130.5,2050,2175,2292,2300,2300,2295,2295,2300,2290,2273.5,2287,2251,2250,2200,2265,2275,2277.5,2299,2330,2380,2400,2395,2400,2400,2400,2400,2400,2426,2474,2461,2480,2480,2480,2495
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,1610,1349,1300,1322.5,1300,1300,1275,1251,1341,1450,1456,1500,1393,1395,1380,1440,1450,1450,1425,1425,1440,1400,1375,1395,1395,1375,1350,1350,1385,1400,1418,1440,1478.5,1500,1450,1475,1475,1574,1507,1528,1568,1600,1600,1600,1588,1550,1564,1600,1575,1519,1520,1534,1575,1601,1675,1599,1680,1685,1636,1501,1580,1675,1585,1595,1600,1600,1600,1600,1650,1689,1735.5,1655,1625,1700,1600,1600,1613,1606,1600,1575,1550,1529,1550,1550,1550,1560.5,1585,1600,1621,1630,1625,1625,1650,1637,1630,1600,1615,1633,1650,1675,1695,1700,1700,1695,1695,1650,1650,1665,1700,1700,1750,1750,1750,1750,1700,1685,1669
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045,1055,1045,963,1005,998,1030,1097.5,1089.5,1200,1174,1300,1305,1299,1170,1329,1175,1105,1155,1289,1297,1299,1263,1295,1304.5,1250,1250,1250,1269.5,1295,1325,1340,1350,1330,1339,1350,1335,1425,1420,1436,1395,1405.5,1390,1395,1375,1350,1300,1305,1276.5,1250,1265,1290,1324,1315,1330,1332,1315,1305,1329.5,1333,1340,1372,1372,1364,1389,1400,1405,1399,1395,1388,1390,1375,1368,1368,1350,1343,1346,1364,1359.5,1355,1360,1350,1350,1350
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,900,900,1000,995,950,925,900,900,850,800,805,800,804,815.5,806,805,807,815,825,825,815,823,801,798,810,820,825,839,854.5,839,839.5,880,886,850,885,899,899,899,900,944,945,910,919.5,920,925,925,944,950,974,989,1001.5,999,1000,999,1000,1000,999,960,1101.5,1100,1100,1115,1101.5,1100,1106,1053,1055,1050,1029,1030,995,1079,1115,1185,1200,1179,1170,1175,1150,1135,1125,1120,1116,1124,1150,1160,1179,1175,1176,1195,1200,1200,1213,1200,1205,1225,1250,1260,1305,1325,1325,1335,1319,1330
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,1849,1795,1870,1650,1689,1682.5,1750,1795,1795,1750,1787,1795,1650,1505,1550,1538,1500,1535,1500,1500,1526,1510,1505,1526.5,1470,1495,1480,1444,1444,1459,1485,1484,1518,1450,1525,1695,1632,1500,1695,1735,1688,1665,1695,1805,1847,1805,1850,1850,1830,1840,1820,1825,1850,1830,1838,1848,1850,1880,1900,1925,1910,1895,1858,1875,1895,1900,1920,1895,1900,1995,1900,1945,1865,1849,1832.5,1900,1950,1965,1995,2025,2025,2040,2050,2045,2001,1995,1990.5,1999,2020,2015,2095,2140,2169,2170,2195,2195,2185,2188,2176.5,2176,2169,2125,2155,2200,2206,2225,2210,2200
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,1895,1895,1950,1850,1900,2100,2150,1850,1847.5,1800,1850,1795,1795,1800,1875,1875,1900,1900,1950,1900,1802.5,1730,1795,1700,1650,1650,1650,1650,1656,1675,1695,1700,1630,1620,1620,1614,1655,1687.5,1650,1695,1735,1700,1739,1900,1875,1850,1911,1895,1880,1875,1855,1925,1940,1950,1950,1970,1992,1990,1999,2000,2005,1995,1995,1980,2000,2000,2035,2030,2055,2050,2070,2061,2085,2100,2100,2114.5,2125,2060,2115,2125,2095,2145,2100,2135,2200,2205,2226,2249,2250,2240,2249,2250,2235,2235,2200,2200,2225,2235,2250,2265,2271,2261.5,2275,2275,2274.5,2270,2265,2245,2255,2271,2285,2285,2289,2297,2308,2320
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,1700,1995,1900,2000,1950,1900,1900,1750,1700,1850,1612.5,1650,1700,1750,1750,1800,1800,1850,1855,1775,1725,1700,1750,1750,1800,1850,1900,1950,2000,2000,1950,1925,1900,1899,1900,1991,2000,2000,2195,2200,2200,2300,2350,2300,2300,2300,2250,2200,2200,2200,2300,2400,2300,2350,2400,2400,2400,2350,2350,2400,2400,2495,2550,2500,2500,2500,2500,2500,2500,2483,2450,2450,2495,2499,2500,2500,2595,2566,2600,2699,2650,2350,2400,2300,2300,2390,2400,2450,2450,2495,2449,2400,2350,2350,2300,2300,2350,2400,2450,2495,2500,2500,2495,2400,2400,2384,2388,2395,2399,2400,2464,2499,2500,2500,2500
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,1899,1850,1800,1850,1900,1900,1900,1800,1800,1800,1675,1650,1650,1650,1695,1685,1650,1650,1697,1695,1700,1700,1700,1750,1750,1750,1750,1800,1750,1750,1700,1700,1700,1750,1750,1750,1800,1800,1825,1900,2000,1950,1900,1900,1950,1950,1975,1999,1950,1950,2000,1950,1990,1950,1920,1900,1900,1900,1900,1950,2000,2069,2100,2150,2200,2200,2100,2100,2150,2175,2200,2200,2210,2199,2100,2100,2050,2000,2000,2000,2100,1950,2000,2000,2000,2000,2000,2000,2000,2037,2050,2000,2000,2000,2029.5,2074.5,2095,2150,2150,2150,2135,2100,2131.5,2100,2100,2096,2100,2100,2100,2100,2100,2095,2059,2070.5,2035
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,,995,965,950,970,973,875,890,849,835,944,949,960,1022,958,1025,1060,1036,995,1063,1049,1075,1137,1250,1150,1164,1167,1128.5,1170,1190,1110,1212.5,1299,1299,1275,1316,1274,1267,1292,1249,1250,1229,1200,1195,1200,1275,1275,1275,1250,1234,1251,1250,1250,1250,1265,1294.5,1284.5,1295,1305,1304,1344.5,1357,1345,1319,1335,1295,1280,1360,1326.5,1313,1280,1374,1387,1390,1390,1400,1410,1414,1425,1405,1399,1435,1425,1435,1470,1444,1429,1465,1461,1467,1484,1457,1472,1467,1446,1456,1474,1475,1467,1455,1425,1435,1420,1428
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,1600,1600,1600,1600,1597.5,1600,1600,1600,1550,1600,1595,1550,1550,1550,1550,1550,1550,1575,1572,1550,1575,1550,1550,1550,1600,1600,1600,1600,1625,1650,1660,1697.5,1650,1650,1650,1650,1650,1675,1700,1795,1850,1900,1950,1950,1900,1927.5,1900,1900,1900,1900,2050,2095,2044.5,2000,2000,2000,2000,1975,1950,1950,1979,2000,2000,2000,2095,2100,2100,2100,2100,2100,2100,2100,2150,2150,2195,2200,2200,2200,2200,2200,2200,2100,2100,2000,2050,2099,2100,2100,2150,2195,2100,2100,2100,2099,2099,2100,2100,2100,2100,2100,2100,2195,2200,2150,2100,2100,2100,2100,2150,2175,2176.5,2195,2200,2200,2200
"Riverside County","CA","Riverside-San Bernardino-Ontario","06","065",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1190,1200,1195,1200,1182,1200,1150,1105,1169,1185,1175,1195,1200,1180,1200,1350,1400,1275,1338,1335,1299,1200,1200,1325,1315,1360,1365,1450,1450,1450,1495,1444.5,1488.5,1500,1550,1534,1530,1542,1552.5,1550,1530,1500,1570,1530,1532.5,1530,1528,1450,1400,1420,1400,1400,1459,1600,1395,1450,1436,1476,1509,1580,1549,1549,1525,1597.5,1600,1591,1584,1595,1635,1650,1662,1655,1650,1657.5,1688,1690,1680,1725,1695,1659,1670,1695,1700,1730,1750,1720,1738,1750
"San Bernardino County","CA","Riverside-San Bernardino-Ontario","06","071",12,,1070,1088.5,1125,1150,1100,1175,1125,1175,1200,1200,1139.5,1082,1097.5,1100,1195,1195,1137,1100,1109.5,1093,999,975,995,995,1138.5,1200,1095,1050,1090,1095,1100,1100,1100,1150,1095,1065,1095,1100,1080,1050,995,1035,1016,960,995,950,950,950,925,935,975,1040,1012.5,1035,1095,1080,1065,1010,1095,1050,1050,1100,1150,1150,1201.5,1200,1185,1195,1155,1275,1295,1295,1254,1300,1400,1395,1418,1466.5,1485,1340,1295,1325,1295,1375,1400,1450,1495,1500,1540.5,1550,1539,1550,1550,1543,1570,1580,1600,1629,1720,1740,1795,1753.5,1745,1743,1750,1809,1829.5,1802,1813,1800,1809,1805,1840,1829,1840,1820
"Clark County","NV","Las Vegas-Henderson-Paradise","32","003",13,,800,899,897,895,885,855,895,795,756.5,750,725,795,795,795,800,800,800,800,825,800,795,750,775,755,775,775,750,757.5,770,765,750,775,775,795,775,775,781,800,800,800,850,900,925,975,950,925,995,1000,1000,1000,1000,1050,1050,999,949.5,925,950,950,995,950,949,950,950,965,980,950,950,925,930,959,999,950,950,995,995,975,1055,1125,1100,1100,1100,1154,1075,1145,1170,1175,1150,1089,1057,1040,1070,1050,1050,1045,1012,1050,1100,1140,1150,1150,1170,1175,1170,1160,1165,1149,1155,1160,1165,1180,1185,1197,1210,1210,1210,1218
"King County","WA","Seattle-Tacoma-Bellevue","53","033",14,,950,1100,1100,1137.5,1150,1175,1185,1210,1200,1240,1200,1200,1220,1182.5,1195,1195,1195,1225,1275,1295,1250,1195,1152.5,1175,1179,1200,1209,1200,1262,1275,1300,1323,1325,1344,1300,1260,1295,1344,1365,1379.5,1395,1395,1410,1495,1495,1495,1510,1500,1495,1495,1535,1600,1630,1655,1640,1650,1606,1631,1595,1600,1650,1650,1665,1670,1695,1725,1750,1750,1730,1615,1695,1707,1749,1795,1790,1811.5,1850,1750,1778.5,1802.5,1772,1708,1750,1799,1850,1900,1905,1957,1950,1955,1930,1910,1893,1850,1835,1854,1894.5,1895,1903,1970,1980,1985,1974,1943,1955,1952,1965,1965,1954,1959,1968,1973,1973,1965,1970,1950
"Tarrant County","TX","Dallas-Fort Worth-Arlington","48","439",15,,,,,,,,,933.5,932,900,850,795,795,810,825,795,795,795,725,715,721,700,685,700,739,754,750,763.5,766.5,760,779,785,777.5,775,790,792,775,795,797,800,822,810,807,850,850,820,899,899,875,870,900,900,900,875,892,891,900,925,925,928,955,947.5,961,950,960,981,988.5,993.5,1011,1013.5,1000,995,1015,1071,1061.5,1085,1053.5,1050,1099,1121.5,1025,1060,1022,1069,1080,1110,1175,1195,1210,1200,1200,1180,1105,1145,1143,1150,1201.5,1237,1230,1240,1250,1299,1300,1310,1345,1340,1345,1342,1325,1355,1338,1325,1310,1305,1292,1276
"Santa Clara County","CA","San Jose-Sunnyvale-Santa Clara","06","085",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2340,2225,1914,1880,1890,1915,1976,1947.5,2013,2081,2194,2163.5,2230,2190,2150,2260,2295,2248.5,2245,2325,2462.5,2530,2548,2525,2550,2560,2560,2570,2625,2660,2675,2695,2745,2795,2850,2845,2834,2772.5,2775,2745,2795,2810,2795,2760,2750,2756,2765,2684.5,2740,2660,2655,2695,2725,2753,2800,2800,2830,2845,2882.5,2840,2813,2800,2757.5,2735,2700,2730,2750,2870,2894.5,2950,2973,2950,2901,2900,2890,2860,2875,2874.5,2880,2881,2925,3000,3025,3025,2995
"Broward County","FL","Miami-Fort Lauderdale-West Palm Beach","12","011",17,,,,,,,,,,,,,,1250,1250,1300,1300,1300,1280,1295,1300,1300,1299,1275,1250,1259.5,1300,1250,1250,1275,1250,1295,1250,1275,1285,1300,1300,1280,1300,1300,1350,1300,1350,1350,1350,1350,1350,1375,1350,1350,1319,1325,1350,1350,1350,1350,1350,1400,1400,1400,1400,1400,1435,1400,1450,1450,1450,1450,1430.5,1450,1500,1500,1500,1500,1500,1500,1500,1500,1480,1500,1540.5,1493,1500,1450,1500,1500,1500,1519,1550,1550,1570,1600,1600,1579,1550,1559.5,1550,1600,1600,1601.5,1650,1643,1645.5,1650,1644,1650,1656,1650,1650,1650,1650,1687,1675,1690,1700,1687.5,1650
"Bexar County","TX","San Antonio-New Braunfels","48","029",18,,,,,,,,,921,921,900,809.5,764,797,799,750,795,795,795,815,850,800,788.5,800,819,863,865,825,803,811,820,859,852,836,849,821,800,835,900,900,854.5,865,859,879,895,900,910,948,979,971,975,979,954,1000,995,982.5,994,965,960,995,970,989,950,939,950,975,979,980,979,974,1005,1015,995,1005,1055,1039,999,1015,995,1045,1012,962.5,1007,950,1000,1015,1020,1036,1095,1075,1060,1053,1075,1075,1075,1075,1075,1143,1120,1100,1115,1134,1140,1140,1134,1115,1162,1129,1151,1159,1157.5,1159,1184,1199,1184,1160,1160
"New York County","NY","New York-Newark-Jersey City","36","061",19,,2680,2762.5,2850,2850,3000,3100,3375,3200,3095,3100,2900,2700,2650,2679,2700,2750,2795,2895,2895,2900,2950,2900,2850,2875,2900,2900,2900,2995,3000,3000,3028.5,3100,3120,3110,3100,3000,3000,3000,3045,3100,3100,3050,3095,3100,3150,3100,3095,3050,3050,3096,3100,3111,3250,3300,3295,3295,3295,3295,3300,3290,3300,3300,3350,3300,3300,3300,3350,3350,3300,3295,3295,3290,3295,3300,3300,3300,3295,3200,3250,3224,3250,3250,3195,3200,3200,3200,3258,3295,3295,3300,3300,3300,3250,3205,3200,3200,3225,3200,3250,3300,3300,3300,3300,3300,3295,3292,3295,3295,3300,3300,3390,3400,3425,3400,3400,3400
