"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"United States",0,,1475,1500,1490,1500,1450,1400,1286,1300,1300,1325,1265,1300,1400,1500,1500,1499,1500,1500,1450,1300,1260,1300,1300,1305,1361,1420,1500,1440,1425,1400,1398,1375,1366,1363,1315,1425,1475,1490,1500,1475,1564,1595,1700,1800,1700,1799,1795,1790,1795,1800,1900,1949,1695,1650,1650,1625,1600,1595,1600,1650,1650,1650,1700,1695,1700,1700,1650,1650,1595,1600,1649,1675,1695,1695,1697,1690,1705,1695,1650,1700,1740,1596,1625,1595,1600,1625,1600,1600,1600,1600,1575,1550,1550,1565,1577,1595,1600,1625,1650,1650,1650,1650,1614,1600,1599,1600,1625,1650,1682,1695,1700,1700,1700,1683,1637
"New York, NY",1,,1850,2000,1950,2100,1975,1900,1850,2000,1950,2100,2000,1995,2295,2395,2400,2400,2500,2595,2500,2458,2400,2365,2395,2450,2495,2500,2550,2595,2600,2625,2650,2684,2675,2650,2600,2700,2700,2700,2795,2800,2750,2750,2795,2800,2700,2700,2695,2700,2700,2700,2775,2850,2410,2400,2400,2400,2400,2350,2375,2400,2400,2475,2500,2495,2450,2499,2495,2400,2400,2400,2395,2400,2400,2450,2500,2500,2500,2500,2500,2575,2535,2300,2395,2350,2350,2400,2400,2450,2450,2446,2400,2360,2311,2300,2300,2300,2340,2400,2400,2450,2450,2450,2400,2395,2353,2350,2335,2350,2395,2400,2450,2495,2475,2463,2400
"Los Angeles-Long Beach-Anaheim, CA",2,1875,1850,1900,1930,1995,2095,2100,1835,1835,1800,1850,1725,1715,1750,1800,1850,1850,1850,1850,1800,1665.5,1550,1550,1575,1595,1600,1600,1600,1600,1600,1625,1650,1620,1610,1575,1590,1650,1675,1650,1695,1680,1677,1675,1750,1755,1650,1795,1780,1750,1739,1750,1850,1850,1895,1900,1911.5,1950,1950,1965,1975,1995,1995,2000,2000,2035,2045,2072,2080.5,2095,2095,2094.5,2100,2144,2175,2150,2160,2150,2130,2105,2150,2100,2140,2091,2150,2250,2290,2295,2275,2280,2283,2260,2259,2255,2250,2235,2200,2250,2250,2265,2295,2300,2328,2355,2350,2352,2360,2360,2350,2360,2375,2396,2395,2400,2400,2410,2425
"Chicago, IL",3,,1295,1295,1275,1280,1250,1250,1295,1393.5,1384,1400,1350,1350,1350,1410,1440,1444,1400,1400,1405,1395,1350,1360,1364,1350,1349,1327,1350,1378.5,1395,1400,1425,1450,1400,1420,1401,1510,1482,1495,1520,1550,1560,1560,1550,1515,1525,1576.5,1535,1500,1500,1500,1550,1590,1649,1550,1650,1649,1600,1490,1510,1624,1550,1550,1575,1575,1569,1550,1600,1635,1688,1600,1590,1650,1575,1560,1590,1585,1550,1525,1505,1500,1500,1500,1500,1506,1541,1560,1595,1596,1595,1595,1600,1595,1595,1592,1585,1595,1605,1643,1650,1650,1650,1650,1650,1615,1629,1640,1659,1675,1700,1700,1700,1695,1675,1645,1625
"Dallas-Fort Worth, TX",4,,,,,,,,,1159,1095,1159.5,1025,944,944,919,919,925,925,815,825,800,795,835,849,880,916,885,900,915,900,899.5,915,919,935,1000,1100,996.5,1019,1015,1012,1037,1050,985,1090,1158,1180,1177,1175,1139,1149,1169,1112,1129.5,1099,1095,1075,1085,1131,1140,1150,1145,1125,1150,1148,1150,1154.5,1169,1179,1180,1195,1195,1200,1220,1250,1235,1239,1229,1219,1207,1273.5,1225,1212,1169,1258,1270,1291,1295,1300,1325,1315,1325,1303,1286,1316,1307,1305,1350,1352,1350,1375,1377,1385,1389,1384,1405,1400,1395,1388,1390,1395,1388,1380,1369,1369,1355,1365
"Philadelphia, PA",5,,,,,,,,,1100,1080,1050,1125,1150,1154,1250,1250,1250,1200,1200,1200,1100,1100,1150,1150,1185,1190,1220,1234,1225,1200,1200,1198,1150,1150,1125,1138,1200,1200,1200,1238,1206,1200,1200,1200,1200,1200,1200,1190,1200,1200,1200,1300,1300,1300,1299,1250,1250,1275,1250,1250,1250,1295,1325,1330,1320,1300,1300,1295,1294,1310,1295,1320,1325,1350,1350,1375,1350,1325,1306.5,1300,1310,1300,1315,1300,1350,1385,1400,1425,1400,1400,1410,1400,1390,1400,1395,1398,1395,1445,1450,1495,1475,1475,1475,1460,1453.5,1495,1487,1500,1505,1525,1509.5,1500,1500,1500,1500,1495
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,1044,1030,960,995,996,1020,1069,1050,1155,1135,1260,1270,1260,1159,1279,1148,1097,1126,1254,1260,1259,1230,1245,1265,1200,1216,1210,1215,1250,1300,1300,1305,1302,1300,1319,1305,1395,1387,1400,1350,1375,1359,1360,1349,1325,1295,1295,1250,1221,1241,1269,1295,1292,1300,1304,1295,1286,1300,1310,1315,1344,1345,1340,1355,1367,1375,1370,1374,1368,1367,1357,1345,1347,1329,1324,1326,1355,1349,1343,1350,1339,1333,1328.5
"Washington, DC",7,1462.5,1500,1500,1500,1500,1500,1550,1515,1505,1500,1533.5,1556,1550,1550,1600,1600,1620,1675,1790,1830,1750,1650,1699,1700,1706,1757,1780.5,1812,1815.5,1790,1733,1740,1750,1779,1788,1795,1799,1804,1790,1704,1725,1725,1800,1800,1799,1778.5,1730,1750,1750,1725,1750,1800,1815,1850,1870,1820,1795,1795,1792,1792,1800,1800,1815,1810.5,1810,1800,1810,1815,1800,1780,1775,1795,1800,1815,1818.5,1804,1805,1795,1786.5,1750,1740,1740,1755,1800,1825,1855,1850,1856,1860,1855,1870,1838,1840,1845,1837,1840,1830,1845,1857,1880,1890,1882,1900,1860,1879,1874,1895,1909,1900,1905,1949,1954,1975,1969,1959,1953
"Miami-Fort Lauderdale, FL",8,,1700,1650,1600,1650,1600,1600,1650,1600,1600,1600,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1495,1475,1450,1475,1490,1450,1450,1500,1450,1475,1450,1425,1400,1450,1450,1450,1500,1500,1500,1550,1650,1640,1600,1650,1675,1700,1690,1650,1625,1600,1650,1650,1650,1610,1650,1650,1650,1640,1650,1695,1700,1700,1770,1800,1800,1825,1800,1800,1850,1840,1850,1850,1874,1800,1800,1800,1750,1723,1779,1760,1850,1700,1755,1775,1800,1800,1800,1800,1800,1800,1825,1809,1800,1800,1800,1833,1850,1875,1895,1890,1885,1889,1888,1900,1885,1869,1875,1886,1900,1900,1900,1887,1877,1880,1850
"Atlanta, GA",9,,1050,1050,1097.5,1100,1025,950,950,950,955,1045,950,979,995,975,975,975,950,950,950,875,855,875,860,900,889,875,895,895,895,920,897,897,897,887,872,897,901,919,922,941.5,949,947.5,995,1005,1000,1040,1060,1050,1074.5,1095,1099.5,1099,1100,1099,1100,1100,1119,1095,1115,1150,1150,1180,1200,1231,1217,1237,1235,1220,1300,1289,1292,1289,1300,1305,1199,1265,1259.5,1255,1300,1241,1240,1212,1285,1295,1320,1340,1351,1347,1339,1350,1346.5,1340,1344,1349,1359.5,1366,1379,1395,1418,1411,1435,1450,1430,1485,1480,1472,1482,1498,1505,1500,1495,1490,1487,1499,1491
