"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,1330,1360,1362,1364,1320,1215,1200,1200,1161,1148,1100,1085,1100,1150,1132,1154,1165,1170,1214.5,1222.5,1250,1150,1170,1200
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,625,650,650,650,625,599,600,625,650,728.5,650,649.5,625,625,641.5,639,618,594,589,599.5,611,650,698,695,725,657,656,667,667,672,725,707.5,700,700,715,788,750,750,765,775,762.5,750,769.5,757.5,750,767.5,750,750,747.5,750,777.5,777.5,757.5,847.5,750,672.5,695,755,785,787,802,769,797,832.5,787,802.5,750,780,787,800,831.5,822,814.5,826.5,812,789,775,794.5,797,788,775,788,789,775,799,800,790,799,795,820,820,820,875,880,900,895,950,920,920,957.5
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,,697.5,670,660,730.5,749,697,725,822.5,799,895,850,800,750,725,700,721,712.5,700,667.5,660,700,695,695,700,725,730,700,685,685,700,711,739,750,753,795,850,850,825,850,900,909,922,900,899,900,875,850,850,900,900,995,950,887,950,950,950,975,950,975,900,900,915,899,909,950,965,925,915,1000,995,1095,980,995,1007.5,987,1040,1150,1150,1100,1050,1075,1040,1077,1009,1000,971,900,972,1031,1125,1118,1085,1135,1170,1150,1145,1149,1100,1065,1099,1100,1125,1010,1040,1057,1091,1140,1179
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,2850,2800,2950,2995,2940,3095,3100,3257.5,3250,3200,3200,3095,3100,3020,3050,3145,3175,3125,3200,3200,3300,3300,3200,3200,3200,3200,3200,3200,3300,3250,3275,3390,3400,3300,3315,3300,3300,3300,3300,3300,3400,3439.5,3450,3495,3495,3490,3445,3439,3450,3462.5,3495,3450,3495,3500,3505,3575,3535,3530,3500,3500,3500,3500,3500,3500,3450,3232.5,3395,3400,3450,3445,3350,3395,3400,3369,3385,3400,3400,3440,3450,3450,3450,3440,3429.5,3410,3400,3350,3350,3445,3442.5,3445,3450,3485,3475,3485,3494.5,3485,3450,3475,3500,3500,3500,3483,3529,3600
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1462.5,1475,1500,1495,1550,1650,1675,1625,1555,1597.5,1500,1350,1350,1497.5,1499,1750,2021,2010.5,1997.5,2099,1995,2000,1800,1695,1695,1662.5,1800,2060,2000,1995,2000,2095,2100,1950,1900,1870,2000,2125,2150,1975,1999,1960,1985,1970,2000,2150,2025,1975
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,,,,,,,,2300,2400,2500,2495,2500,2500,2570,2600,2600,2600,2550,2550,2550,2550,2575,2600,2600,2625,2650,2650,2700,2700,2750,2700,2695,2695,2699,2695,2695,2600,2675,2750,2795,2750,2750,2700,2700,2750,2750,2750,2950,2800,2800,2800,2800,2800,2850,2800,2897.5,2900,2900,2800,2875,2895,2926.5,2939.5,2895,2875,2860,2860,2895,2900,2900,2850,2800,2795,2800,2800,2800,2800,2750,2795,2837,2827,2825,2850,2850,2850,2836,2886,2845,2850,2800,2800,2800,2790,2750,2797,2800,2833,2800,2829,2890,2850,2850,2875,2895,2850,2875,2895,2900,2897.5,2895,2885
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,,,,,,650,602.5,621,625,628,599,600,600,650,620,599,625,650,625,625,595,600,625,625,639,640,650,650,625,650,650,650,675,660,650,695,750,750,750,750,750,700,675,650,650,650,650,650,650,650,650,650,650,650,625,650,650,650,657.5,650,675,686,675,675,700,750,760,750,785,761,737,750,750,800,800,800,795,800,800,795,825,800,775,790,795,800,815,815,845,850,850,850,863,863,850,850,900,901.5,925,925,930,930,930,905,899
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139,985,1002,1000,1050,1149,1100,1050,1099,1075,1065,1000,1150,1149.5,1150,1145,1099.5,1080,1099,1100,1090,1061,1149,1125,1100,1149,1169.5,1180,1200,1236,1200,1215,1209,1225,1229,1240,1221,1224,1213.5,1229,1227.5,1250,1260,1250,1249
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",9,,,,,,,,,,,,,,,,1600,1600,1491.5,1470,1470,1450,1450,1495,1500,1486.5,1400,1450,1500,1500,1488,1460,1500,1500,1500,1500,1500,1545,1550,1550,1550,1550,1600,1545,1500,1500,1500,1500,1500,1545,1550,1550,1600,1700,1597.5,1600,1650,1650,1600,1600,1650,1700,1775,1724.5,1800,1749,1800,1800,1750,1700,1800,1800,1800,1850,1900,1895,1800,1812.5,1825,1900,1938.5,1800,1899,1995,1825,1965.5,2000,2050,2050,2000,2000,2000,1950,1938.5,1900,2000,2000,2100,2150,2150,2100,2100,2100,2200,2100,2150,2050,2099.5,2000,2100,2150,2299,2300,2262.5,2250,2200,2200
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,1062.5,999,995,1000,1000,985,980,995,1000,995,995,995,1000,947.5,858,850,865,850,817.5,825,795,810,830,821,815,824,827,827.5,805,795,825,841,850,850,850,850,850,842,800,877,995,960,960,955,950,950,925,940,925,925,903,925,944,935,950,1000,995,975,1000,995,995,1000,952.5,1065,1090.5,1055,1042.5,1029,995,1042,975,995,997.5,975,995,950,1012,1025,1053.5,1095,1082,1135,1124,1070,1195,1200,1125,1300,1250,1250,1246,1261,1275,1200,1200,1208,1200,1261,1235,1204,1295,1350,1350,1370,1357.5,1370,1350,1295,1285.5
