"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"California",1,,,,,,,,,,1600,1600,1650,1500,1550,1550,1650,1650,1650,1650,1650,1600,1500,1400,1400,1425,1440,1485,1473,1465,1485,1475,1500,1532,1495,1495,1450,1435,1459,1495,1482,1495,1490,1495,1500,1600,1600,1500,1645,1650,1600,1595,1625,1750,1750,1758,1795,1810,1850,1850,1850,1862,1895,1895,1915,1928,1950,1955,1995,2000,2000,2000,2005,2068.5,2099,2110,2100,2100,2095,2138,2045,2100,2013,2055,2000,2100,2177,2200,2200,2202,2200,2224,2201,2200,2200,2195,2195,2190,2200,2200,2238,2262,2285,2300,2315,2296,2298,2300,2300,2300,2300,2300,2345,2350,2374,2395,2395,2395
"Texas",2,,950,950,950,975,1050,950,895,860,899,900,895,889.5,895,895,895,900,899,875,750,769,795,800,825,849,899,920,892,900,905,900,920,937,931,944,955,1000,950,971,970,973,978,1009,975,1072,1090,1110,1099,1130,1085,1076,1100,1099,1100,1097,1095,1090,1099,1100,1095,1099,1100,1095,1129,1124.5,1140,1134,1142,1150,1145,1195,1181,1195,1189,1220,1204,1200,1200,1190,1189,1200,1150,1148,1125,1190,1200,1201,1225,1245,1243,1240,1245,1240,1225,1249,1249,1242,1275,1281,1287,1295,1295,1300,1300,1299,1306,1310,1300,1302,1315,1326,1325,1330,1330,1324,1315,1317
"New York",3,,,1892.5,2100,2000,2200,2000,1950,1950,2150,2000,2200,2000,2000,2350,2450,2495,2475,2550,2610,2600,2500,2450,2400,2400,2500,2500,2550,2600,2625,2650,2695,2700,2700,2700,2700,2650,2725,2700,2750,2800,2825,2795,2795,2800,2850,2750,2750,2700,2700,2750,2750,2800,2895,2465,2425,2450,2400,2400,2400,2400,2410,2450,2500,2500,2500,2499,2500,2500,2481,2400,2400,2400,2400,2406,2495,2500,2500,2515,2500,2550,2600,2550,2350,2400,2350,2350,2400,2400,2450,2450,2450,2400,2350,2300,2300,2300,2300,2300,2395,2400,2450,2450,2450,2400,2350,2300,2300,2300,2300,2350,2400,2400,2450,2450,2450,2400
"Florida",4,,,,,,,,,,,,,,1395,1375,1400,1399,1350,1325,1300,1350,1300,1250,1290,1250,1250,1250,1250,1250,1275,1250,1247,1200,1200,1200,1185,1115,1150,1175,1195,1200,1200,1319,1300,1350,1400,1400,1400,1395,1350,1300,1300,1350,1350,1350,1355,1395,1380,1350,1350,1325,1400,1400,1390,1425,1450,1550,1600,1550,1595,1591,1587,1600,1600,1617,1595,1550,1525,1500,1500,1500,1530,1625,1500,1514,1540,1550,1565,1559,1570,1578,1600,1600,1600,1600,1609,1600,1600,1622,1650,1649,1641,1650,1650,1650,1650,1650,1647,1637,1650,1650,1650,1650,1650,1650,1650,1630
"Illinois",5,1550,1300,1295,1295,1275,1262.5,1250,1250,1295,1365,1366,1400,1345,1350,1350,1400,1430,1431.5,1400,1400,1400,1385,1350,1350,1350,1345,1329,1307,1350,1362.5,1380,1395,1409,1445,1396,1400,1395,1500,1454,1470,1500,1535,1550,1550,1548,1500,1501,1555,1502,1477,1492,1496,1525,1566,1630,1545,1629,1620,1550,1450,1495,1600,1508,1500,1550,1545,1545,1500,1579.5,1595,1645,1569,1525,1600,1520,1505,1545,1530,1512,1500,1495,1450,1475,1485,1475,1495,1495,1500,1550,1550,1550,1550,1550,1550,1550,1525,1518,1550,1575,1600,1600,1615,1620,1600,1600,1595,1595,1600,1620,1640,1675,1665,1667,1650,1640,1599,1595
"Pennsylvania",6,,,1195,1195,1200,1200,1200,1200,1030,1000,1019,999.5,995,995,995,1000,1025,1000,999.5,1039,1020,970,965,970,999,1045,1055.5,1100,1120,1100,1100,1095,1052,1016.5,1049,1000,990,1030,1050,1068,1124.5,1100,1050,1000,1000,995,1000,1025,999,1000,1000,1050,1175,1150,1100,1100,1075,1075,1075,1050,1070,1095,1120,1190,1200,1179,1150,1125,1100,1096,1170,1100,1189,1195,1200,1200,1225,1195,1185,1150,1100,1140,1100,1100,1100,1150,1200,1200,1250,1250,1250,1230,1210,1200,1200,1200,1200,1200,1250,1285,1300,1295,1295,1274,1250,1275,1295,1295,1295,1295,1325,1345,1330,1350,1350,1325,1300
"Ohio",7,,,,,,,,,,654,649,649,640,640,637,690,695,695,695,699,700,649,650,650,670,675,675,650,645,639,635,655,650,650,665,650,635,650,675,659,669,650,650,647.5,639,650,625,669,650,650,650,675,675,675,625,639,695,700,710,719.5,713,750,766,765,800,775,770,750,750,750,814,819,800,800,830,850,850,825,845,825,825,820,800,800,830,849,860,875,878,870,874,860,875,863.5,850,855,863,879,899,900,915,910,909,925,910,925,920,900,899,900,925,950,950,950,950,950,950
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,895,900,940,935,959.5,850,850,895,920,950,950,925,900,900,935,925,900,980,985,925,995,1025,950,940,945,950,970,950,979,990,975,1000,1000,995,979,950,975,999,1040,1020,1010,1004,1000,1039,1069,1061,1029,1004.5,999,1000,1049,1086,1075,1095,1095,1095
"Georgia",9,,1000,1000,1000,1050,1100,1000,950,900,900,900,995,900,925,950,950,949.5,949,921,911,920,825,810,825.5,815.5,866,854.5,850,860,850,854,894,861,866,865,850,848,867,877,885,885,900,905,900,950,950,920,975,1000,995,999,1000,995,995,985,995,995,990,1000,995,1000,1000,1003,1045,1069,1100,1075,1095,1096,1092,1200,1191,1195,1179,1200,1200,1105,1155,1159,1169,1219,1145,1150,1148.5,1209,1214.5,1245,1253,1275,1275,1275,1284,1275,1270,1275,1279,1285,1300,1319,1334,1362,1363,1376,1400,1374,1430,1422,1413,1420,1432,1450,1455,1446,1438,1425,1435,1425
"North Carolina",10,,,850,875,900,850,875,850,877,875,859.5,875,759,750,767,750,750,750,750,750,764,750,760,751.5,770,780,795,795,785,775,775,815,820,825,820,795,793.5,805,829,836,844,845,840,804,800,800,795,800,800.5,800,800,800,845,850,849,850,825,829,850,850,865,850,875,880,886.5,890,890,900,900,900,999,975,985,1000,1085,1048,1072,1075,1100,1082,1100,1060,1025,1004,1075,1043,1075,1097,1118,1124,1140,1140,1135,1133,1150,1139,1144,1180,1187,1200,1227,1224,1215,1231,1230,1235,1250,1249,1240,1254,1255,1271,1278,1272,1287,1275,1279
