"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,2575,2350,2450,2500,2500,2869.5,2741.5,2800,2875,2696.5,2600,2645,2700,2775,2750,2800,2800,2900,2950,2950,2825,2795,2895,2850,2850,2850,2900,2895,3000,3100,3200,3200,3095,3095,3145,3200,3200,3200,3237,3115,3200,3250,3295,3225,3250,3282.5,3250,3300,3300,3290,3295,3300,3200,3300,3295,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3350,3400,3400,3375,3365,3350,3300,3350,3300,3350,3254,3250,3365,3400,3350,3200,3365,3295,3275,3290,3250,3250,3300,3370,3395,3350,3267,3295,3295,3270,3250,3200,3300,3364,3395,3350,3300,3300,3400,3400,3400,3390,3450,3450,3500,3400,3400,3480,3500
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,1544.5,1557,1325,1295,1225,1245,1275,1350,1310,1295,1295,1275,1225,1275,1295,1295,1295,1350,1325,1395,1300,1195,1300,1395,1445,1395,1450,1455,1400,1350,1350,1395,1395,1425,1395,1400,1425,1425,1430,1475,1425,1454,1550,1545,1500,1427.5,1500,1625,1625,1600,1600,1585,1585,1650,1655,1690,1650,1600,1600,1595,1595,1550,1550,1550,1600,1671,1700,1745,1675,1600,1550,1575,1550,1500,1645,1625,1650,1670,1710,1722.5,1695,1690,1645,1595,1550,1550,1599,1600,1650,1695,1700,1730,1695,1595,1500,1500,1500,1505,1595,1505,1645,1695,1775,1765.5,1695,1600,1549
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,3000,3000,3100,3150,3100,3300,3276,3450,3250,3250,3295,3200,3250,3184,3138,3200,3250,3250,3300,3299,3300,3300,3300,3295,3200,3300,3220,3220,3395,3400,3395,3499,3500,3420,3450,3450,3400,3450,3450,3411,3500,3500,3612.5,3600,3598,3600,3582.5,3596,3615,3684,3695,3600,3605,3695,3700,3750,3695,3675,3650,3600,3600,3650,3600,3600,3500,3300,3500,3485,3515,3495,3400,3434.5,3450,3450,3492.5,3500,3500,3515,3500,3500,3580,3529,3500,3500,3500,3400,3414,3500,3500,3499.5,3500,3600,3588,3531,3498,3495.5,3495,3495,3550,3650,3595,3496,3591.5,3600
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1227,1180,1225,1229,1322,1320,1293,1294,1393,1516,1375,1382,1350,1248,1254.5,1254.5,1261,1247.5,1225,1260,1230,1247.5,1200,1179,1308,1374.5,1395,1395,1403,1456,1406,1341.5,1250,1329.5,1316,1452.5,1295,1295,1305,1375,1397.5,1287.5,1243.5,1255,1262.5,1290,1275,1333.5,1267,1329,1335,1335,1327.5,1390,1390,1430,1414,1407,1396.5,1390,1440,1407,1449,1458,1424,1452,1440,1510,1400,1373,1386.5,1355,1330,1370,1400,1410,1425,1389
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,,,,,,,,,,,,,1500,1400,1445,1500,1526,1470,1425,1480,1480,1505,1585,1575,1550,1550,1550,1575,1695,1689.5,1675,1700,1761,1750,1700,1729,1723.5,1700,1700,1730,1745,1705,1695,1705,1650,1700,1730,1795,1750,1700,1700,1695,1750,1750,1695,1800,1900,1950,1900,1945,1900,1770,1800,1895,1950,1850,1850,1850,1850,1845,1837.5,1850,1962,1875,1900,1900,1950,1867.5,1850,1800,1740,1750,1730,1800,1751,1840,1895,1900,1925,1995,1950,1900,1850,1840,1850,1850,1835,1825,1895,1900,1925,1895,1850,1795,1795,1775,1800,1900,1850,1950,1995,1975,1975,1900,1875,1810
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127,1125.5,1073,1112,1127,1127,1127,1119.5,1127,1265,1225,1295,1295,1295,1295,1295,1275,1295,1250,1189.5,1112,1085,1095,1066,1097,1126,1127,1121,1138,1159,1182,1124.5,1100
"79936","El Paso","TX","El Paso","El Paso County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,797.5,795,777,795,795,795,800,800,831.5,847.5,822.5,800,800,800,825,850,853,850,860,860,840,825,835,811.5,806,825,821,850,875,858.5,827,850
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.5,1055.5,1050,1069,1071.5,1113,1089,1055.5,1036.5,1044,1050,1002,1047.5,1040,1032.5,1034,1018,1048,1091,1100,1069,1100,1096,1107,1096,1069,1237,1256,1215,1177,1152,1105,1101,1039,1032,1064,1070,1098.5,1099,1109,1177,1177,1142
"10002","New York","NY","New York-Newark-Jersey City","New York County",9,,,,,,,,,,,2750,2697.5,2675,2450,2387.5,2400,2400,2549,2650,2600,2600,2500,2485,2500,2500,2500,2600,2750,2750,2750,2700,2695,2700,2750,2795,2750,2700,2745,2795,2795,2800,2850,2800,2795,2800,2775,2750,2750,2700,2795,2795,2800,2925,2995,3098.5,3100,3000,3075,3150,3000,3000,3000,2995,2950,3150,3137.5,3199,3254,3100,3082.5,3000,3098,3100,3099,2995,2995,3300,3085,3225,3199.5,2995,3085,2977,2900,3200,3095,3095,3200,3200,3200,3195,3100,2995,2950,2900,2900,2979,3000,3112,3200,3195,3200,3275,3272.5,3270,3262.5,3225,3152,3108,3215.5,3350,3479,3500,3323,3450,3495
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",10,,,,,,,,,,,,,,,,,,,,,,,,1050,1075,1025,1050,1100,1050,1125,1150,1100,1050,1100,1172.5,1150,1200,1200,1200,1212.5,1200,1200,1250,1200,1250,1200,1200,1225,1250,1250,1250,1200,1200,1225,1250,1259.5,1250,1250,1300,1300,1300,1300,1300,1300,1300,1350,1350,1350,1375,1400,1395,1395,1375,1400,1450,1400,1400,1400,1400,1450,1450,1450,1450,1450,1450,1450,1475,1475,1500,1500,1500,1500,1500,1498,1500,1550,1550,1550,1550,1550,1625,1625,1650,1574,1600,1595,1650,1650,1600,1600,1575,1600,1650,1675,1695,1750
