"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,2300,2350,2395,2450,2500,2600,2750,2600,2500,2495,2500,2500,2500,2400,2495,2500,2500,2500,2450,2400,2350,2250,2200,2200,2250,2200,2195,2200,2250,2150,2075,2150,2000,2000,1950,2000,2050,2000,2000,2100,2100,2000,1905,2100,2250,2150,2300,2279,2250,2250,2250,2375,2450,2500,2500,2500,2500,2500,2595,2600,2550,2600,2700,2750,2800,2800,2800,2800,2800,2800,2799.5,2800,2850,2900,2895,2800,2850,2850,2750,2900,2750,2950,2725,2850,2900,3000,3095,3100,3102,3098.5,3000,3000,3000,3000,3000,3000,3000,3000,3065,3100,3200,3150,3100,3100,3100,3195,3150,3100,3100,3100,3195,3200,3150,3195,3200,3200
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,1600,1500,1500,1500,1500,1550,1595,1600,1600,1650,1680,1600,1600,1551,1600,1600,1600,1645,1625,1625,1600,1575,1550,1582,1595,1600,1550,1550,1600,1599,1600,1541,1545,1500,1540,1531,1525,1550,1537,1573,1577.5,1600,1600,1620,1630,1607,1650,1613,1600,1600,1600,1678.5,1700,1700,1700,1700,1700,1695,1695,1675,1675,1700,1699,1700,1700,1700,1710,1700,1665,1675,1650,1650,1692,1700,1700,1699,1695,1695,1695,1650,1672,1650,1650,1650,1664,1685,1700,1750,1750,1789,1750,1750,1700,1700,1695,1695,1700,1725,1725,1750,1800,1800,1800,1754.5,1750,1700,1700,1700,1700,1700,1750,1750,1795,1795,1800,1796
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1300,1300,1300,1375,1400,1411.5,1450,1450,1450,1450,1450,1450,1459,1450,1499,1525,1550,1550,1550,1525,1500,1500,1500,1525,1525,1550,1550,1550,1500,1500,1500,1500,1495,1450,1475,1411.5,1495,1499,1500,1500,1525,1525,1525,1500,1525,1500,1500,1500,1500,1500,1525,1550,1591,1600,1600,1595,1550,1550,1550,1550,1550,1550,1550,1590,1595,1595,1595,1595,1590
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,1550,1500,1450,1395,1350,1395,1300,1300,1300,1300,1200,1199,1195,1200,1200,1200,1169.5,1150,1150,1100,1100,1100,1100,1100,1150,1150,1150,1152.5,1150,1125,1100,1100,1100,1100,1100,1100,1100,1125,1125,1125,1100,1095,1149,1150,1150,1150,1150,1150,1150,1150,1200,1200,1200,1226.5,1200,1200,1225,1250,1250,1295,1300,1325,1325,1325,1300,1300,1299,1295,1300,1325,1350,1350,1375,1395,1325,1325.5,1300,1300,1295,1299,1300,1265,1328,1350,1395,1400,1430,1440,1425,1400,1400,1400,1400,1400,1400,1450,1475,1495,1500,1500,1500,1500,1495,1495,1500,1500,1500,1500,1550,1600,1600,1600,1600,1600,1600
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,3000,3275,2950,2972.5,3400,3500,2900,2795,2600,2600,2182.5,2220,2200,2275,2295,2295,2200,2200,2195,2150,2095,2050,2000,2000,2000,1900,1900,1995,2000,1995,2000,1999,1995,1975,1950,1900,1945,1955,1995,2000,1995,1900,2150,2195,2190,2200,2200,2150,2150,2145,2250,2250,2250,2295,2300,2300,2300,2300,2300,2350,2300,2300,2295,2300,2300,2325,2300,2305,2350,2375,2395,2395,2400,2395,2350,2395,2350,2350,2395,2300,2300,2300,2400,2450,2500,2500,2575,2575,2595,2595,2590,2550,2500,2550,2547.5,2600,2600,2695,2700,2725,2750,2750,2695,2650,2650,2695,2650,2700,2695,2750,2795,2750,2700,2725,2700
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,2450,2500,2550,2597.5,2800,2800,2650,2492.5,2500,2500,2495,2450,2500,2500,2550,2600,2595,2600,2550,2500,2450,2495,2450,2500,2450,2435,2500,2500,2500,2500,2495,2495,2400,2400,2400,2450,2450,2500,2500,2500,2550,2400,2595,2600,2600,2650,2650,2650,2600,2600,2700,2750,2700,2750,2771.5,2750,2750,2750,2750,2750,2800,2795,2800,2850,2850,2895,2850,2800,2800,2860,2895,2900,2900,2850,2850,2900,2850,2800,2800,2800,2900,2795,2850,2960,3000,3050,3100,3150,3150,3100,3000,3000,3050,3095,3100,3100,3100,3150,3200,3200,3200,3200,3200,3200,3195,3200,3200,3200,3200,3250,3295,3250,3250,3250,3200
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,1900,1975,2000,2200,2100,2038,2100,2200,1872.5,1800,1900,2000,1900,1900,1950,2000,2100,2100,1895,1800,1800,1800,1800,1800,1878.5,1925,1950,2000,2000,1950,1900,1900,1950,1975,1975,2000,2200,2200,2200,2300,2350,2400,2450,2500,2500,2500,2505,2500,2500,2500,2550,2600,2600,2700,2600,2400,2600,2500,2585,2600,2600,2700,2700,2700,2700,2700,2650,2700,2700,2650,2650,2600,2600,2600,2600,2600,2700,2800,2700,2500,2500,2500,2500,2500,2500,2575,2600,2600,2600,2547.5,2500,2500,2500,2450,2400,2450,2500,2500,2500,2500,2500,2500,2400,2400,2400,2450,2474,2500,2500,2500,2500,2500,2500
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,1950,1900,1875,1900,1955,2100,2000,1900,1890,1900,1800,1700,1700,1750,1775,1775,1750,1750,1775,1800,1800,1800,1800,1800,1850,1850,1850,1900,1850,1800,1800,1800,1800,1800,1825,1850,1900,1900,1950,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1995,2000,2000,2100,2000,2075,2050,2000,2000,2000,2100,2200,2200,2250,2275,2300,2300,2200,2200,2250,2300,2300,2300,2325,2225,2200,2200,2175,2100,2100,2100,2200,2000,2100,2100,2150,2200,2200,2195,2175,2200,2200,2200,2200,2200,2200,2200,2200,2200,2250,2250,2250,2250,2250,2250,2250,2250,2200,2200,2250,2300,2250,2239.5,2200,2200,2200
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,1200,1200,1200,1200,1200,1223,1200,1195,1158,1150,1175,1150,1200,1195,1050,1114,1195,1150,1100,1150,1150,1195,1162.5,1125,1150,1195,1155,1195,1250,1250,1200,1250,1250,1250,1295,1250,1250,1250,1250,1300,1300,1347.5,1336,1300,1300,1300,1325,1350,1350,1395,1395,1395,1400,1403,1445,1399,1395,1395,1395,1400,1445,1475,1450,1465,1450,1450,1450,1450,1450,1495,1450,1495,1500,1550,1595,1600,1650,1650,1600,1600,1595,1590,1592.5,1590,1575,1597,1625,1625,1650,1650,1600,1600,1595,1595,1599,1600,1600,1600,1695,1700,1700,1725,1695,1700
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,1600,1600,1700,1650,1650,1600,1600,1600,1650,1600,1600,1650,1650,1600,1600,1650,1650,1600,1600,1672.5,1600,1600,1600,1600,1600,1650,1650,1650,1600,1595,1600,1650,1700,1700,1700,1700,1695,1700,1700,1750,1800,1895,1925,2000,1950,1970,1997,2000,1950,1912.5,1950,2000,2000,2000,2049.5,2070,2060,2100,2100,2100,2100,2100,2100,2150,2200,2200,2200,2250,2200,2200,2200,2200,2200,2200,2200,2175,2200,2200,2200,2205,2200,2200,2200,2200,2250,2275,2300,2300,2300,2300,2350,2300,2300,2275,2275,2250,2250,2200,2200,2300,2295,2230,2300,2275,2300,2275,2250,2215,2200,2250,2295,2250,2250,2200,2300,2300
