"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,2600,2700,2800,2650,2800,2849,2800,2900,2650,2850,3199.5,3097.5,3000,3087.5,3025,2850,3000,2800,2900,2900,2950,2950,3195,3200,3300,3312.5,3195,3175,3252,3295,3200,3250,3151,2950,3200,3300,3392.5,3450,3497.5,3405,3350,3350,3350,3385,3380,3400,3350,3385,3450,3400,3400,3400,3400,3400,3400,3400,3395,3397.5,3450,3500,3500,3500,3500,3500,3500,3490,3500,3500,3400,3400,3440,3450,3500,3500,3500,3492.5,3400,3350,3500,3400,3402.5,3400,3440,3445,3380,3402.5,3440,3397.5,3400,3395,3350,3385,3400,3400,3385,3400,3380,3400,3470,3400,3400,3400,3375,3500,3490,3422.5,3500,3500
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1950,2000,2000,1980,1895,1900,1875,1900,1925,2100,2095,2150,2000,1950,1972.5,1985,1925,1950,1900,1950,1895,1912.5,2097.5,2000,1950,1750,1850,1775,1897.5,1850,1900,1900,2000,2100,2100,2100,2000,1895,1833,1799.5,1750,1750,1750,1895,1825,1900,1950,2012.5,1950,1850,1800,1825,1750,1800,1750,1800,1895,1920,1900,1900,2000,1950
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,3425,3275,3650,3850,3975,3949.5,4392.5,4550,4430,3800,3750,3500,3437.5,3300,3254,3300,3485,3600,3574,3595,3400,3400,3500,3395,3350,3495,3600,3500,3500,3510,3500,3410,3400,3400,3395,3400,3300,3300,3399,3400,3360,3500,3500,3500,3587.5,3600,3600,3697,3725,3695,3900,3725,3775,3775,3810,3750,3700,3775,3700,3750,3750,3700,3750,3800,3792.5,3800,3797,3795,3795,3800,3800,3800,3700,3750,3700,3600,3537.5,3450,3500,3500,3575,3650,3650,3600,3700,3750,3695,3782.5,3600,3550,3500,3697,3695,3695,3500,3500,3500,3500,3500,3600,3600,3662.5,3790,3750,3700,3725,3600,3500,3562.5,3695,3600,3550,3600,3650
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,2000,2100,1900,1850,1900,2100,2100,2000,2100,2073.5,2100,2100,2200,2250,2100,2250,2300,2190,2180,2200,2250,2200,2200,2295,2250,2200,2300,2300,2200,2200,2200,2180,2100,2100,2100,2200,2100,2150,2100,2000,2200,2100,1900,2000,1950,2000,2000,2000,2000,2000,2100,2100,2200,2260,2200,2200,2125,2100,2100,2125,2150,2100,2100,2000,2000,2000,2050,2074,2000,2050,2100,2100,2100,2100,2100,2100,2100
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175,2180,2195,2200,2200,2200,2000,2250,2350,2250,2300,2250,2252.5,2295,2350,2297.5,2295,2100,2162.5,2300,2200,2200,2200,2200,2150,2100,2197.5,2295,2200,2100,2295,2297.5,2300,2297.5,2195,1990,2000,2100,2100,2100,2200,2250,2317.5,2342.5,2450,2475,2342.5,2200,2200,2250,2200,2211,2195,2000,1950,2100,2000,2175,2206.5,2040,2150,2050,2095,2000,2150,2272.5,2300,2250,2100,2200,2285
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",6,,,,,,,,,,,,1275,1200,1200,1250,1200,1200,1200,1195,1200,1200,1195,1200,1200,1200,1250,1250,1295,1250,1250,1250,1262.5,1200,1250,1275,1250,1195,1300,1300,1350,1350,1300,1375,1391.5,1362.5,1395,1350,1350,1300,1300,1327.5,1375,1375,1400,1400,1400,1400,1400,1400,1400,1400,1400,1475,1475,1475,1450,1450,1450,1450,1450,1447.5,1425,1450,1450,1475,1450,1462.5,1485,1450,1402.5,1430,1444,1400,1400,1400,1400,1400,1425,1425,1425,1425,1437.5,1425,1450,1450,1467,1475,1475,1475,1500,1525,1500,1500,1500,1500,1497,1500,1500,1500,1500,1525,1525,1525,1550,1525,1525
"79936","El Paso","TX","El Paso","El Paso County",7,,,,,,,,,,,,,,,1100,1100,1050,1050,1000,1025,1050,1030,1000,1050,1050,1095,1085,1000,1100,1100,1050,1047.5,1000,997,975,975,975,990,995,995,990,995,995,995,995,975,995,975,982.5,990,987.5,1000,1000,995,995,995,995,1000,995,995,995,1000,1050,1037.5,1050,1050,1050,1050,1050,1000,1000,1000,1000,1050,1050,1000,1025,1000,995,995,1050,975,990,1000,995,1050,1050,1025,1050,1075,1050,1000,1000,1000,995,1000,995,1000,1025,1050,1050,1035,1000,1000,1050,1050,1050,1030,1000,1025,1050,1075,1100,1100,1100,1100
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",8,,,,,,,,,,,,,1050,1100,1125,1150,1125,1150,1150,1150,1150,1195,1185,1200,1150,1100,1125,1195,1195,1200,1197.5,1150,983.5,1150,1195,1120,1087,1195,1150,1200,1349.5,1200,1225,1250,1297.5,1300,1300,1300,1300,1300,1324.5,1325,1324.5,1350,1375,1362.5,1350,1395,1350,1350,1375,1395,1400,1400,1445,1450,1400,1400,1400,1400,1400,1395,1400,1425,1412.5,1400,1449,1400,1400,1395,1400,1375,1395,1400,1400,1400,1400,1400,1400,1457.5,1450,1450,1450,1425,1400,1417.5,1450,1450,1475,1485,1475,1475,1499.5,1500,1500,1500,1495,1500,1484.5,1500,1500,1500,1500,1495,1500,1500
"10002","New York","NY","New York-Newark-Jersey City","New York County",9,,,,,,,,,,,,,,,,,,,,3395,3300,2800,3000,2695,2800,2750,2695,2750,2795,2750,2625,2695,2800,2800,2850,2850,2800,2850,2800,2800,2850,2980,3050,2975,2700,2997.5,2875,3000,2995,2995,3100,3050,3100,3197.5,3200,3300,3200,3347.5,3300,3395,3200,3200,3100,2997.5,3200,3197.5,3395,3160,3195,3050,3050,3195,3197.5,3195,3100,3000,3100,3100,3112.5,2900,2900,2900,2900,3050,3300,3197.5,3200,3295,3257.5,3275,3100,2800,3100,2970,3100,3100,3100,3200,3197.5,3297.5,3250,3200,3300,3225,3160,3160,3197.5,3100,3125,3112.5,3050,3300,3300,3195,3200,3125
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1150,1125,1295,1350,1200,1150,1200,1247.5,1200,1250,1250,1297.5,1295,1350,1400,1400,1412.5,1400,1365,1475,1475,1425,1450,1395,1395,1500,1500,1550,1500,1500,1500,1487.5,1600,1550
