"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,2700,2700,2850,2800,2850,2962.5,2995,2800,2800,2800,2800,2750,2800,2700,2800,2800,2850,2800,2700,2650,2500,2400,2395,2375,2400,2395,2385,2400,2400,2300,2200,2250,2149,2152.5,2070,2100,2150,2100,2195,2200,2295,2275,2250,2300,2300,2100,2350,2300,2275,2250,2295,2400,2500,2600,2600,2600,2600,2600,2695,2690,2600,2650,2800,2900,2977.5,2950,2950,2950,2900,2900,2850,2900,2995,3000,3000,2995,2995,3000,2850,3000,2850,3000,2800,2995,3000,3200,3300,3300,3300,3250,3250,3250,3200,3200,3200,3150,3195,3150,3200,3295,3350,3300,3300,3300,3280,3300,3377.5,3300,3325,3300,3350,3400,3300,3300,3400,3400
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,,1612.5,1600,1697,1682,1700,1675,1675,1700,1750,1700,1600,1600,1575,1600,1650,1635,1670,1650,1640,1600,1550,1532.5,1540.5,1545,1570,1500,1550,1595,1575,1555,1495,1490,1455,1495,1495,1450,1500,1495,1530,1517,1595,1600,1575,1577,1575,1600,1595,1561,1573.5,1561,1600,1644.5,1650,1650,1650,1650,1650,1630,1634,1621,1625,1650,1650,1650,1675,1698,1675,1650,1649.5,1600,1600,1600,1602.5,1605,1618,1600,1625,1623.5,1600,1609,1600,1599,1575,1575,1600,1625,1655,1690,1700,1675,1650,1650,1645,1640,1614,1627,1650,1650,1695,1720,1745,1715,1700,1695,1650,1630,1650,1650,1675,1700,1700,1749,1750,1750,1750
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1300,1300,1300,1395,1425,1450,1450,1475,1475,1475,1495,1495,1495,1495,1500,1550,1575,1595,1575,1550,1550,1550,1550,1550,1550,1575,1600,1600,1550,1550,1500,1550,1500,1500,1500,1450,1500,1500,1510,1550,1585,1595,1595,1575,1575,1550,1550,1550,1550,1550,1550,1600,1600,1625,1625,1600,1595,1595,1575,1575,1575,1595,1600,1600,1625,1640,1630,1600,1600
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,1600,1500,1495,1500,1400,1400,1400,1400,1395,1375,1200,1200,1200,1250,1200,1200,1195,1195,1150,1150,1125,1100,1150,1150,1175,1195,1200,1200,1195,1175,1150,1150,1125,1125,1150,1149.5,1150,1175,1195,1195,1195,1100,1195,1175,1175,1195,1175,1150,1175,1195,1250,1250,1250,1259,1250,1250,1250,1250,1275,1300,1344,1350,1350,1350,1349.5,1300,1300,1300,1340,1350,1355,1385,1400,1400,1395,1395,1375,1350,1350,1350,1350,1300,1375,1399,1450,1495,1500,1499,1495,1475,1450,1450,1450,1450,1450,1495,1500,1550,1595,1595,1595,1550,1545,1549,1550,1575,1595,1595,1650,1695,1700,1696.5,1695,1665,1650
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,,,2500,2500,2600,2650,2500,2500,2495,2400,2300,2250,2200,2200,2200,2200,2150,2195,2250,2295,2250,2200,2200,2195,2150,2150,2150,2190,2200,2325,2350,2375,2395,2400,2400,2300,2400,2390,2300,2295,2295,2495,2500,2500,2500,2500,2500,2550,2500,2550,2589,2500,2500,2500,2550,2547,2500,2500,2500,2500,2600,2600,2650,2650,2600,2575,2600,2550,2595,2550,2550,2550,2500,2600,2700,2750,2800,2850,2800,2800,2800,2800,2795,2795,2800,2800,2895,2850,2900,2950,2995,2995,2995,2895,2800,2817.5,2895,2895,2900,2900,2995,2995,2950,2900,2950,2950
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,3300,3400,3300,3400,3500,3272.5,3200,2995,3100,3100,2900,2895,2875,2997.5,3000,3000,3000,2999.5,2950,2850,2750,2850,2800,2900,2700,2700,2850,2850,2900,2850,2760,2750,2600,2700,2750,2800,2800,2850,2950,2950,3000,2950,2950,2950,2867,2900,2900,2900,2900,2900,3000,3100,3100,3100,3116.5,3100,3100,3100,3100,3200,3141.5,3200,3200,3200,3200,3300,3200,3200,3200,3295,3250,3300,3300,3200,3200,3310,3200,3100,3100,3100,3250,3100,3200,3300,3450,3495,3500,3500,3500,3500,3450,3495,3495,3495,3450,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3550,3600,3600,3600,3500,3500,3595,3500
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,1600,1600,1750,1725,1725,1650,1600,1675,1675,1675,1800,1600,1700,1800,1750,1700,1700,1795,1750,1800,1800,1800,1800,1750,1750,1800,1825,1900,1950,1950,2000,2100,2000,1900,1925,1999,1990,1950,2000,2100,2205,2385,2500,2500,2400,2400,2500,2500,2500,2500,2500,2500,2455,2500,2500,2500,2700,2500,2300,2515,2500,2500,2550,2600,2622.5,2595,2500,2550,2500,2550,2600,2550,2507,2595,2600,2650,2600,2600,2599,2800,2875,2780,2500,2450,2457.5,2450,2450,2466.5,2500,2500,2550,2545,2500,2500,2481.5,2474,2400,2370,2400,2500,2500,2500,2500,2550,2500,2400,2395,2399,2450,2450,2482.5,2500,2500,2500,2500,2500
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,2500,2500,2500,2500,2300,2200,2200,2150,1995,2037.5,1900,1850,1895,1900,2000,2000,2000,1950,1995,1995,1900,1900,1950,2000,2050,2000,2000,2000,2000,1900,1877.5,2000,1950,1900,1900,1975,2000,2000,2000,2100,2150,2100,2100,2100,2175,2175,2100,2100,2100,2100,2200,2200,2250,2200,2250,2250,2200,2175,2150,2200,2200,2300,2250,2250,2300,2250,2200,2200,2300,2350,2350,2325,2350,2275,2300,2295,2300,2250,2232,2200,2295,2150,2200,2225,2250,2300,2350,2322,2350,2350,2362.5,2350,2300,2350,2398,2378,2300,2350,2350,2350,2350,2300,2300,2300,2300,2300,2300,2300,2350,2386,2400,2350,2300,2350,2350
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,1250,1250,1250,1250,1250,1250,1225,1200,1195,1195,1200,1200,1200,1200,1095,1195,1200,1200,1200,1195,1195,1195,1195,1195,1199,1200,1200,1200,1250,1250,1250,1250,1250,1250,1290,1250,1250,1250,1250,1300,1300,1350,1350,1346,1300,1320,1350,1350,1350,1395,1400,1400,1449.5,1450,1475,1400,1400,1395,1400,1450,1450,1495,1480,1500,1495,1495,1495,1495,1495,1500,1495,1500,1545,1595,1600,1650,1675,1650,1625,1650,1600,1600,1600,1600,1595,1600,1650,1650,1650,1650,1645,1600,1599,1600,1600,1625,1600,1625,1695,1730,1725,1710,1700,1700
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,1600,1600,1700,1650,1650,1650,1650,1650,1675,1600,1650,1697.5,1700,1650,1700,1800,1800,1800,1750,1720,1600,1600,1650,1650,1695,1780,1750,1750,1650,1600,1600,1650,1700,1750,1700,1799,1700,1750,1700,1800,1950,2100,2100,2100,2055,2080,2100,2100,2055,2000,2000,2072.5,2100,2100,2150,2200,2200,2200,2235,2220,2250,2250,2250,2300,2365,2400,2400,2400,2350,2300,2400,2400,2400,2365,2350,2337.5,2395,2300,2397,2400,2300,2350,2400,2320,2300,2400,2400,2400,2450,2500,2500,2500,2450,2365,2400,2350,2400,2350,2350,2400,2400,2400,2400,2400,2430,2440,2400,2350,2300,2400,2400,2400,2400,2365,2400,2450
"Riverside County","CA","Riverside-San Bernardino-Ontario","06","065",11,,,,,,,,,,,,,,2150,2000,2195,2150,2000,1900,1900,1875,1850,1850,1800,1795,1795,1772,1688,1695,1700,1700,1695,1675,1695,1699,1695,1695,1699,1700,1700,1750,1750,1750,1749,1759,1750,1700,1750,1750,1700,1699,1695,1800,1800,1795,1800,1800,1795,1795,1800,1800,1823,1836,1895,1895,1875,1895,1879,1895,1895,1900,1900,1900,1900,1900,1949.5,1895,1895,1850,1850,1850,1845,1950,1850,1895,1950,1989.5,1997,2000,2050,2100,2050,2095,2097.5,2095,2100,2100,2172,2195,2199.5,2200,2200,2200,2195,2200,2200,2200,2200,2200,2200,2250,2300,2300,2295,2295,2295,2250
"San Bernardino County","CA","Riverside-San Bernardino-Ontario","06","071",12,,1500,1550,1650,1600,1450,1397.5,1500,1495,1480,1575,1587.5,1495,1395,1400,1395,1350,1350,1350,1350,1299,1295,1295,1295,1250,1280,1300,1325,1300,1299,1300,1325,1310,1350,1350,1350,1355,1350,1395,1350,1395,1350,1350,1400,1395,1395,1350,1350,1350,1350,1350,1350,1395,1395,1350,1350,1350,1300,1300,1350,1350,1350,1379.5,1395,1395,1450,1450,1400,1400,1400,1450,1400,1495,1472,1495,1500,1500,1500,1595,1500,1500,1575,1550,1550,1595,1600,1650,1750,1750,1750,1750,1795,1800,1795,1800,1800,1800,1850,1895,1900,1875,1850,1875,1870,1850,1800,1850,1815,1855,1860,1895,1850,1895,1899,1850,1850,1850
"Clark County","NV","Las Vegas-Henderson-Paradise","32","003",13,,,1300,1295,1295,1300,1250,1250,1295,1295,1250,1200,1200,1200,1200,1200,1250,1225,1200,1200,1200,1200,1195,1195,1195,1195,1195,1195,1195,1195,1190,1180,1150,1150,1150,1150,1150,1150,1150,1195,1195,1195,1195,1200,1195,1195,1195,1195,1195,1195,1195,1195,1200,1200,1250,1250,1250,1225,1225,1220,1235,1250,1250,1275,1250,1250,1295,1295,1295,1295,1295,1275,1295,1295,1300,1300,1300,1300,1295,1295,1295,1295,1300,1280,1300,1350,1350,1375,1395,1399,1400,1400,1395,1395,1399,1400,1400,1450,1450,1495,1495,1495,1500,1500,1500,1500,1530,1550,1550,1575,1595,1620,1625,1605,1625,1603,1600
"King County","WA","Seattle-Tacoma-Bellevue","53","033",14,,,,,,,,,,,,,,1750,1750,1800,1950,1895,1895,1850,1875,1850,1750,1795,1752.5,1750,1795,1795,1795,1830,1850,1800,1750,1750,1695,1602,1670,1672.5,1645,1700,1795,1950,1995,1950,1995,1950,1950,1950,1950,1900,1950,1955,2084,2095,2150,2200,2195,2100,2100,2050,2100,2050,2100,2195,2275,2300,2400,2400,2300,2300,2295,2300,2300,2395,2400,2400,2400,2495,2500,2495,2450,2400,2357.5,2350,2495,2500,2500,2600,2650,2795,2750,2700,2645,2575,2500,2545,2500,2500,2600,2695,2750,2750,2750,2700,2600,2595,2500,2500,2600,2595,2600,2700,2800,2800,2795,2795,2700
"Wayne County","MI","Detroit-Warren-Dearborn","26","163",15,,950,995,1000,1025,1025,950,999.5,999,900,900,900,850,850,850,875,900,900,900,900,857,750,750,775,775,799,775,795,795,750,750,795,777.5,795,750,750,750,750,795,775,800,775,800,795,795,775,775,775,799,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,825,825,800,850,850,800,850,850,825,850,825,850,850,850,850,850,850,850,850,850,850,850,850,875,900,895,875,895,900,900,900,900,900,900,900,900,900,900,900,900,900,900
"Tarrant County","TX","Dallas-Fort Worth-Arlington","48","439",16,,,1350,1400,1500,1397.5,1312.5,1349,1350,1325,1295,1262.5,1275,1300,1300,1300,1295,1300,1295,1295,1250,1250,1240,1225,1250,1250,1250,1200,1250,1250,1250,1250,1225,1225,1250,1250,1200,1250,1250,1250,1275,1300,1300,1300,1300,1295,1295,1300,1300,1295,1295,1295,1350,1360,1350,1365,1367,1350,1350,1362,1375,1395,1400,1425,1425,1400,1425,1425,1400,1395,1395,1400,1400,1425,1450,1475,1450,1475,1495,1495,1450,1464.5,1450,1450,1495,1495,1500,1550,1575,1595,1595,1575,1575,1550,1550,1549.5,1550,1550,1595,1600,1600,1600,1650,1625,1600,1595,1595,1600,1600,1600,1635,1650,1675,1695,1675,1662.5,1650
