"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"United States",0,,,1500,1500,1500,1600,1500,1500,1495,1475,1450,1500,1400,1400,1400,1450,1450,1450,1400,1400,1395,1350,1325,1325,1325,1350,1400,1395,1395,1400,1395,1395,1350,1320,1350,1345,1295,1300,1350,1350,1350,1350,1375,1350,1375,1350,1350,1375,1350,1300,1300,1345,1400,1400,1400,1400,1400,1395,1395,1395,1395,1395,1400,1450,1469,1490,1475,1475,1450,1425,1450,1425,1450,1450,1500,1500,1500,1500,1500,1500,1495,1495,1495,1450,1450,1470,1500,1550,1550,1595,1595,1550,1550,1525,1500,1500,1500,1525,1550,1600,1600,1625,1645,1600,1600,1595,1595,1595,1585,1595,1600,1650,1695,1695,1695,1675,1650
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3162.5,3200,3300,3175,3300,3250,3430,3544.5,3300,3300,3100,3000,2995,3000,3150,3100,3200,3200,3600,3300,3200,3000,3250,3195
"Los Angeles-Long Beach-Anaheim, CA",2,,,2950,3000,3000,3100,3200,3100,2992.5,2895,2900,3000,2800,2850,2800,2900,2900,2950,2900,2850,2800,2700,2550,2600,2550,2600,2500,2500,2600,2600,2500,2495,2500,2375,2300,2300,2300,2350,2300,2355,2450,2500,2500,2495,2500,2500,2400,2600,2500,2500,2500,2500,2695,2750,2800,2800,2837.5,2800,2800,2850,2850,2850,2850,2975,3000,3100,3050,3100,3050,3000,3000,3000,3000,3150,3200,3100,3100,3185,3100,2995,3050,2975,3195,2950,3098,3200,3300,3400,3400,3400,3400,3400,3350,3300,3300,3300,3285,3295,3300,3350,3400,3495,3450,3400,3400,3400,3445,3495,3400,3495,3450,3500,3500,3462.5,3400,3500,3500
"Chicago, IL",3,,1650,1600,1600,1625,1695,1697,1600,1600,1600,1600,1650,1600,1550,1535,1595,1600,1600,1650,1621,1600,1575,1500,1500,1500,1500,1549,1500,1527.5,1564,1550,1550,1500,1490,1450,1490,1489,1450,1500,1500,1545,1545,1575,1600,1579,1595,1550,1600,1589,1550,1550,1550,1600,1613,1628,1625,1649.5,1650,1600,1600,1600,1623,1625,1650,1650,1667,1675,1694.5,1650,1625,1645,1600,1600,1600,1600,1600,1625,1620,1645,1625,1600,1600,1599,1595,1575,1575,1600,1623.5,1650,1690,1700,1675,1650,1636,1621.5,1625,1600,1612,1650,1655,1698.5,1700,1726,1700,1700,1679,1650,1650,1645,1650,1650,1695,1700,1708,1725,1750,1749
"Dallas-Fort Worth, TX",4,,1295,1350,1400,1395,1375,1350,1350,1395,1495,1400,1400,1395,1350,1350,1350,1350,1395,1350,1350,1300,1295,1295,1295,1295,1300,1350,1250,1300,1350,1326.5,1300,1295,1295,1295,1295,1295,1295,1300,1300,1350,1395,1395,1395,1395,1350,1350,1375,1350,1350,1350,1385,1450,1450,1495,1495,1475,1450,1475,1475,1475,1495,1500,1545,1550,1575,1575,1575,1550,1549,1525,1540,1550,1550,1595,1595,1599,1600,1617.5,1600,1595,1595,1600,1595,1600,1610,1650,1695,1700,1745,1750,1700,1695,1650,1650,1650,1650,1680,1695,1750,1750,1750,1750,1720,1700,1695,1695,1695,1695,1695,1700,1750,1795,1795,1795,1775,1750
"Philadelphia, PA",5,,1498.5,1500,1500,1500,1550,1500,1500,1500,1500,1500,1500,1400,1400,1450,1500,1500,1500,1500,1500,1500,1450,1450,1400,1400,1440,1450,1450,1450,1450,1450,1400,1380,1395,1380,1350,1350,1375,1400,1450,1500,1500,1500,1475,1450,1450,1400,1400,1400,1375,1381.5,1400,1500,1547,1550,1500,1500,1495,1450,1450,1475,1500,1500,1550,1580,1595,1595,1550,1500,1500,1500,1500,1499.5,1500,1500,1575,1595,1550,1550,1500,1500,1450,1500,1450,1450,1450,1500,1550,1550,1575,1550,1500,1500,1500,1500,1500,1495,1500,1500,1550,1575,1595,1550,1550,1500,1500,1500,1500,1500,1500,1550,1600,1600,1625,1650,1600,1587.5
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1400,1395,1400,1450,1550,1595,1600,1600,1595,1550,1575,1575,1575,1569,1600,1650,1650,1675,1675,1650,1650,1622,1625,1650,1649,1650,1675,1695,1650,1650,1600,1600,1600,1575,1559,1500,1569.5,1595,1600,1650,1650,1650,1650,1645,1650,1600,1600,1600,1600,1600,1645,1650,1675,1695,1695,1650,1650,1625,1600,1600,1600,1625,1650,1650,1695,1695,1695,1680,1650
"Washington, DC",7,,1800,1800,1850,1850,1950,2000,1950,1900,1950,1900,1950,1900,1900,1900,1900,2000,2100,2000,2000,2000,1999,1995,1975,1950,1900,1975,1995,2000,2100,2100,2000,2000,2000,1999,1975,1995,1995,2000,2000,2100,2100,2100,2100,2100,2050,2000,2000,1999,1995,1995,2000,2100,2195,2200,2195,2100,2100,2100,2050,2000,2050,2100,2100,2175,2200,2200,2200,2195,2100,2100,2100,2100,2100,2195,2200,2200,2200,2200,2200,2199,2150,2100,2100,2150,2175,2200,2250,2300,2300,2350,2295,2200,2200,2198.5,2175,2175,2195,2200,2287,2300,2350,2395,2300,2300,2292.5,2289,2250,2227.5,2250,2300,2395,2400,2475,2450,2400,2395
"Miami-Fort Lauderdale, FL",8,,,2200,2200,2200,2200,2100,2050,2050,2100,2000,2100,1950,1950,1950,1950,2000,2000,1990,1975,1950,1950,1900,1895,1895,1900,1900,1800,1800,1899,1850,1800,1800,1800,1800,1775,1795,1775,1750,1800,1850,1895,1975,1995,2000,2000,2000,2025,2000,1999,1975,1995,2050,2075,2100,2075,2100,2095,2000,2000,2000,2000,2000,2100,2100,2100,2115,2150,2100,2100,2190,2200,2200,2200,2200,2200,2200,2200,2170,2150,2100,2150,2200,2100,2150,2195,2200,2200,2249,2250,2250,2270,2300,2275,2250,2250,2295,2250,2250,2250,2250,2287,2275,2250,2250,2250,2275,2275,2250,2259,2300,2300,2300,2300,2300,2300,2300
"Atlanta, GA",9,1099,1195,1200,1200,1200,1250,1250,1250,1250,1200,1200,1250,1195,1175,1150,1200,1200,1200,1175,1150,1100,1100,1100,1100,1095,1075,1100,1050,1085,1095,1095,1090,1095,1050,1000,1000,1000,985,1000,1000,1095,1095,1100,1100,1100,1100,1095,1100,1100,1095,1095,1095,1100,1115,1125,1150,1150,1150,1150,1150,1145,1150,1195,1200,1200,1250,1250,1200,1200,1200,1200,1200,1225,1225,1250,1275,1300,1300,1300,1300,1295,1300,1300,1295,1300,1347,1350,1400,1400,1425,1450,1400,1400,1395,1395,1395,1400,1400,1432,1495,1495,1500,1500,1495,1469,1450,1450,1450,1475,1475,1495,1515,1564,1575,1575,1550,1535
