"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,,,,,,,,3400,3072.5,3500,3580,3520,3263,3288,3450,3400,3300,3300,3400,3500,3650,3500,3450,3320,3300,3300,3400,3500,3500,3400,3297.5,3405,3450,3427.5,3427.5,3427.5,3300,3325,3400,3295,3239,3350,3400,3400,3405,3400,3500,3500,3405,3400,3400,3500,3452.5,3325,3400,3402.5,3500,3500,3525,3550,3550,3500,3500,3400,3500,3500,3500,3405,3405,3500,3402.5,3500,3400,3297.5,3400,3400,3297.5,3297.5,3452.5,3400,3400,3402.5,3452.5,3500,3500,3452.5,3500,3500,3405,3400,3452.5,3500,3500,3400,3500,3405,3405,3500,3500,3500,3525,3500,3405,3500
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2215,2087.5,1800,1750,1699.5,1699,1777.5,1740,1750,1800,1820,1797.5,1950,2000,1900
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,3400,3295,3155,3205,3195,3400,3800,3641.5,3850,3423,3719,3800,3500,3500,3553,3800,3875,4000,3975,3750,3450,3425,3450,3350,3319.5,3102,3300,3350,3150,3150,3208.5,3150,3043,3043,2850,2850,2899.5,2900,3200,3150,3021.5,3043,3297.5,3217,3233.5,3150,3150,3080,3000,3043,2986.5,3050,3297.5,3300,3295,3145,3090,3139.5,3080,3100,3061.5,3043,3080,3150,3043,3197.5,3021.5,3080,3150,3150,3043,3095,3043,3059,2975,3000,3100,3061.5,3000,3000,3115,3150,3150,3125,3080,3043,2986.5,2925,3100,3043,3000,3295,3250,3297.5,3217,3150,3000,2999,3250,3090,3080,3180,3300
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,2000,2100,2100,2150,2150,2100,2150,2100,2100,2100,2100,2100,2200,2299.5,2190,2295,2300,2200,2200,2250,2276.5,2250,2250,2300,2250,2250,2300,2300,2212.5,2200,2200,2200,2150,2100,2150,2200,2112.5,2200,2137.5,2050,2250,2100,1950,2100,1998,2000,2000,2037.5,2000,2075,2100,2100,2200,2325,2250,2200,2150,2150,2100,2150,2162.5,2100,2100,2050,2045,2000,2100,2100,2025,2100,2150,2100,2150,2100,2112.5,2100,2150
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2697.5,2665,2800,2700,2947.5,2995,2700,2895,2995,2850,2900,2600,2700,2575,2575,2850,2872,2775,2700,3050,3200
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",6,,,,,,,,,,,,1285,1200,1200,1250,1200,1200,1200,1200,1200,1200,1195,1200,1200,1200,1250,1250,1300,1250,1250,1250,1277.5,1237.5,1275,1295,1250,1200,1300,1300,1350,1350,1325,1400,1400,1395,1400,1387.5,1350,1305,1300,1345,1387.5,1375,1400,1400,1400,1400,1400,1400,1400,1400,1412.5,1475,1475,1475,1450,1450,1450,1475,1450,1450,1449,1450,1450,1475,1450,1475,1495,1450,1425,1450,1450,1400,1400,1400,1400,1400,1425,1425,1425,1425,1450,1425,1450,1450,1475,1492.5,1475,1475,1500,1545,1510,1500,1500,1500,1500,1500,1500,1500,1500,1525,1525,1525,1550,1525,1550
"79936","El Paso","TX","El Paso","El Paso County",7,,,,,,,,,,,,,,,1100,1100,1050,1050,1000,1012.5,1095,1095,1000,1050,1050,1095,1095,1050,1100,1100,1050,1050,1000,1000,995,975,995,995,1000,1000,995,1000,1000,1000,995,975,995,995,995,995,995,1000,1045,995,995,995,997.5,1000,1000,1000,999,1000,1050,1050,1075,1075,1050,1050,1050,1000,1000,1000,1000,1050,1050,1000,1025,1050,995,995,1050,975,997.5,1000,1000,1050,1052.5,1050,1062.5,1095,1050,1050,1050,1025,1000,1000,995,1050,1050,1075,1095,1050,1050,1050,1095,1095,1100,1050,1000,1050,1100,1100,1100,1100,1100,1100
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1135,1100,1200,1159,1208,1400,1250,1400,1450,1372.5,1325,1350,1325,1340,1300,1350,1350,1350,1395,1400,1397.5,1375,1400,1397.5,1390,1400,1400,1400,1400,1450,1475,1445,1439,1400,1400,1400,1400,1412.5,1450,1450,1450,1450,1450,1450,1400,1449.5,1400,1400,1400,1400,1400,1450,1450,1450,1475,1480,1495,1450,1450,1450,1450,1450,1450,1500,1500,1495,1495,1500,1500,1500,1500,1500,1500,1500,1500,1550,1550,1500,1500,1500,1550
"10016","New York","NY","New York-Newark-Jersey City","New York County",9,,,,,,,,,,,,,,3035,2995,3141,3000,2995,2950,3020,3250,3400,3295,3297.5,3195,3095,3090,3100,3195,3195,3195,3200,3250,3295,3271,3250,3291,3255,3295,3295,3300,3200,3300,3300,3392.5,3336,3465,3402.5,3390,3400,3400,3475,3390,3400,3495,3525,3475,3485,3485,3500,3475,3532.5,3540,3600,3640,3624,3532.5,3600,3500,3545,3550,3550,3562.5,3545,3562.5,3645,3624,3532.5,3500,3625,3557.5,3599.5,3525,3625,3575,3587.5,3600,3600,3600,3625,3624.5,3624.5,3500,3475,3495,3525,3557.5,3540,3475,3475,3495,3540,3575,3575,3575,3532.5,3525,3532.5,3495,3475,3495,3497.5,3624,3632.5,3575,3624
"78660","Pflugerville","TX","Austin-Round Rock","Travis County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089,1020,1200,1275,1300,1249,1300,1300,1300,1295,1295,1285,1295,1325,1350,1295,1320,1354.5,1375,1350,1375,1375,1345,1350,1350,1350,1350,1375,1387.5,1450,1450,1450,1450,1495,1495,1450,1450,1425,1354.5,1400,1415,1475,1450,1425,1415,1450,1375,1500,1550,1550,1595,1562.5,1595,1595,1595,1595,1555,1550,1600,1600,1600,1625,1650,1695,1650,1675,1679,1650,1640,1603.5,1650,1650,1650,1695,1699,1699,1699,1700,1695,1667
