"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"United States",0,1297.5,1500,1400,1495,1450,1475,1450,1450,1400,1400,1395,1400,1300,1300,1350,1359,1375,1350,1350,1325,1300,1250,1265,1275,1295,1300,1350,1375,1395,1395,1395,1395,1350,1350,1350,1375,1350,1425,1460,1475,1450,1400,1450,1425,1489,1529,1500,1550,1519,1520,1521.5,1580,1635,1608,1495,1450,1475,1450,1400,1400,1443,1450,1475,1499,1500,1500,1500,1500,1475,1450,1450,1450,1450,1495,1500,1500,1500,1500,1500,1500,1500,1500,1550,1439,1460,1450,1495,1500,1500,1500,1500,1500,1500,1495,1490,1495,1475,1500,1500,1500,1550,1550,1550,1545,1500,1500,1500,1500,1500,1525,1550,1590,1595,1595,1595,1585,1550
"New York, NY",1,,2000,2000,2100,2000,2100,2000,1950,1950,2000,1950,2100,1950,1850,1950,1999,2000,2000,2079.5,2150,2100,2000,2000,2000,2000,2000,2050,2100,2135,2150,2150,2160,2150,2150,2150,2195,2150,2165,2150,2175,2200,2200,2200,2200,2232,2249.5,2250,2260,2250,2250,2250,2250,2300,2300,2250,2200,2200,2225,2200,2200,2275,2290,2300,2350,2380,2395,2350,2400,2395,2350,2300,2300,2300,2300,2300,2350,2300,2300,2300,2295,2300,2300,2300,2125,2200,2300,2325,2350,2400,2400,2400,2393,2400,2315,2300,2300,2300,2300,2300,2350,2400,2400,2400,2400,2350,2300,2300,2300,2300,2315,2350,2440,2429,2450,2450,2450,2400
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,1499,1400,1350,1350,1300,1382.5,1375,1295,1095,945,925,975,1010,1075,1075,1109,1065,1075,1095,1146,1120,1135,1100,1075,1140,1175,1180,1200.5,1197.5,1140,1175,1140,1175,995,1150,1150,1125,1098,1117,1200,1250,1295,1300,1300,1350,1355,1375,1360,1390,1400,1430,1395,1480,1495,1499,1515,1549.5,1500,1500,1625,1650,1662.5,1652.5,1695,1650,1769,1570,1625,1575,1599,1540,1545,1770,1850,1795,1764,1830,1895,1895,1895,1855,1807,1825,1795,1802,1800,1825,1850,1810,1835,1880,1875,1900,1900,1852,1850,1850,1885,1945,1924,1917,1895,1878,1861
"Chicago, IL",3,,1500,1500,1500,1499.5,1450,1462.5,1500,1550,1575,1599,1650,1500,1449,1363.5,1380,1399,1359,1349.5,1345,1350,1325,1295,1295,1275,1250,1250,1300,1300,1300,1350,1396,1395,1375,1385,1375,1385,1420,1400,1400,1434,1445,1450,1495,1500,1495,1450,1475,1480,1461,1450,1450,1500,1526,1576,1500,1595,1580,1500,1495,1525,1602,1549,1500,1530,1550,1525,1510,1545,1546,1547,1517,1510,1550,1500,1500,1500,1475,1465,1450,1450,1500,1500,1490,1495,1500,1492,1495,1500,1500,1500,1535,1550,1550,1525.5,1500,1500,1500,1499,1475,1490,1495,1500,1515,1498,1480,1475,1480,1500,1474,1550,1519.5,1500,1475,1450,1455,1486
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,899,880,888,870,915,928.5,899,895,925,948.5,864,900,954,1075,1195,1195,1155,1122.5,1098,1100,1095,1095,1100,1215,1231,1250,1200,1225,1225,1237,1240,1201,1250,1300,1300,1367.5,1350,1350,1275,1250,1200,1250,1245,1250,1300,1295,1350,1250,1295,1350,1202,1350,1300,1250,1295,1337.5,1350,1300,1285,1300,1292.5,1315,1320,1300,1295,1295,1315,1315,1307.5,1295,1305,1350,1357.5,1325,1325,1290,1310,1300,1300,1290,1295,1280.5,1295,1320,1360,1365,1395
"Philadelphia, PA",5,,1550,1600,1550,1550,1550,1600,1600,1500,1500,1500,1500,1400,1400,1400,1450,1500,1450,1500,1500,1500,1450,1400,1400,1300,1350,1350,1300,1300,1300,1300,1350,1325,1300,1300,1295,1200,1250,1290,1275,1200,1200,1225,1295,1350,1325,1250,1300,1275,1250,1250,1250,1329.5,1325,1379,1350,1350,1375,1350,1287,1300,1300,1300,1300,1300,1342,1300,1325,1300,1300,1350,1325,1350,1325,1320,1300,1295,1325,1320,1350,1317.5,1395,1400,1365,1324,1300,1300,1300,1300,1295,1300,1328,1350,1375,1375,1350,1374.5,1375,1395,1350,1350,1375,1400,1400,1441,1400,1454.5,1450,1450,1405,1400,1400,1353.5,1350,1395,1400,1400
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1165,1165,1234,1210,1232.5,1250,1350,1400,1352.5,1450,1500,1499.5,1485,1500,1600,1640,1650,1600,1600,1595,1595,1595,1595,1575,1595,1600,1625,1675,1680,1650,1649,1600,1600,1600,1600,1600,1600,1625,1600,1600,1600,1595,1600,1550,1595,1500,1500,1500,1525,1575,1560,1585,1595,1595,1600,1568,1575,1575,1550,1550,1595,1600.5,1635,1650,1650,1625,1601,1595,1595,1590,1550,1600,1600,1600,1626,1650,1600,1575,1595
"Washington, DC",7,,,,1622.5,1800,1703.5,1830,1700,1810,1865,1849,1818.5,1810,1710,1725.5,1840,1950,1900,1900,2073,2043,1899,1750,1800,1715,1685,1714,1725,1705,1725,1740,1665.5,1695,1683,1696.5,1680,1683.5,1700,1745.5,1708.5,1655,1655,1647,1725,1750,1735,1695,1600,1575,1575,1565,1565,1600,1630,1655,1689.5,1670,1600,1620,1652,1669,1655,1680,1650,1635,1650,1669,1695,1685,1657,1630,1650,1650,1655,1681,1675.5,1690,1683,1680,1695,1663,1600,1620,1650,1710,1707,1733.5,1710,1720,1750,1781,1789,1750,1740,1720,1704,1719,1670,1665,1685,1680,1695,1710,1770,1731,1720,1703,1736.5,1743,1746,1725,1739,1762,1786,1795,1815,1837
"Miami-Fort Lauderdale, FL",8,,2175,2100,2200,1987.5,2100,2100,2100,2000,2100,1950,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1950,1850,1850,1800,1750,1800,1650,1600,1650,1600,1650,1555,1650,1650,1650,1692.5,1700,1700,1700,1700,1700,1750,1800,1850,1850,1750,1850,1850,1800,1800,1800,1995,1995,2000,1900,1850,1889,1850,1800,1800,1800,1825,1850,1800,1829,1850,1850,1900,1900,1900,1850,1900,1875,1900,1900,1867.5,1900,1800,1800,1805,1850,1850,1798,1800,1827,1869.5,1900,1899,1935,1900,1950,1945,1907.5,1900,1850,1850,1810,1805,1850,1845,1885,1850,1830,1839,1800,1825,1810,1835,1865,1850,1840,1825,1820,1799,1796,1800
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1185,1200,1200,1235,1230,1265,1269,1290,1320.5,1299,1275,1250,1253,1293,1299,1346.5,1360,1358,1350,1375,1375,1379,1400,1374,1432.5,1435,1425,1429,1439,1439,1429,1439,1429,1443,1461,1483
