"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"California",1,,,,1862.5,1650,1840,1650,1650,1600,1600,1575,1350,1355,1350,1325.5,1350,1297,1317.5,1350,1295,1195,995,979.5,1050,1095,1146.5,1150,1150,1150,1145.5,1150,1175,1150,1150,1125,1123,1160,1200,1217,1230,1195,1195,1195,1223,1250,1050,1200,1250,1200,1175,1190,1275,1269.5,1295,1298,1365,1395,1416.5,1423,1450,1425,1495,1500,1475,1572,1550,1600,1600,1600,1575,1595,1695,1705,1748,1765,1782,1710.5,1798,1650,1718,1675,1695,1650,1710,1850,1860,1850,1845,1875,1908,1909,1925,1900,1875,1890,1890,1882,1884.5,1895,1935,1910,1930,1953,1950,1975,1975,1962.5,1968,1956,1983.5,2000,1995,2000,1999,1999,1995
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1150,1200,1232.5,1200,1195,1150,1100,1100,1100,1000,1050,1050,1100,1053,1093,1100,1150,1200,1200,1195,1200,1200,1200,1200,1235,1300,1300,1350,1350,1325,1300,1300,1325,1327,1300,1350,1389,1395,1450,1400,1400,1395,1350,1350,1350,1325,1300,1350,1350,1395,1395,1400,1400,1395,1395,1375,1350,1375,1395,1395,1425,1427,1450,1450,1450,1438,1400,1400,1400,1395,1395,1400,1435,1475,1495,1500,1495,1475,1450,1450,1450,1445,1450,1450,1475,1495,1495,1495,1475,1495
"New York",3,2000,2100,2300,2200,2375,2200,2000,2000,2100,2000,2300,2100,1980,2000,2095,2100,2100,2200,2200,2200,2100,2100,2090,2079,2100,2100,2150,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2225,2200,2245,2290,2275,2295,2300,2295,2295,2295,2295,2300,2340,2300,2275,2291,2300,2300,2300,2300,2305,2350,2400,2419,2450,2425,2495,2495,2400,2400,2400,2395,2390,2399,2400,2395,2370,2370,2350,2350,2350,2375,2200,2300,2400,2450,2490,2495,2500,2500,2495,2500,2450,2400,2400,2375,2400,2400,2450,2500,2500,2495,2489,2445,2400,2400,2400,2400,2400,2450,2500,2500,2506,2500,2519,2500
"Florida",4,,,,,,,,,,,,,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1100,1150,1195,1195,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1250,1250,1250,1250,1300,1300,1300,1300,1300,1300,1300,1300,1250,1250,1300,1300,1300,1300,1350,1350,1325,1300,1300,1300,1350,1350,1339.5,1350,1350,1350,1375,1395,1395,1375,1400,1400,1425,1400,1400,1375,1375,1350,1350,1395,1425,1375,1399,1400,1400,1450,1450,1450,1495,1500,1505,1500,1500,1500,1500,1500,1495,1550,1550,1550,1550,1550,1550,1538,1530,1550,1550,1570,1560,1585,1595,1600,1585,1580.5,1595
"Illinois",5,1450,1475,1500,1497,1450,1462.5,1500,1550,1575,1599,1650,1450,1400,1350,1355.5,1375,1350,1325,1325,1350,1300,1275,1275,1255,1226,1233,1273,1295,1280,1325,1372,1353,1350,1350,1350,1355,1400,1399,1395,1406,1405,1420,1465,1480,1453.5,1420,1450,1440,1410,1400,1400,1455,1500,1550,1453,1559,1550,1404,1400,1453,1550,1499,1464,1495,1500,1475,1450,1495,1495,1495,1465,1450,1495,1450,1438.5,1450,1422,1425,1400,1400,1450,1453,1449,1425,1422,1400,1407.5,1425,1426,1450,1462,1495,1480,1450,1450,1449.5,1425,1420,1400,1422,1425,1450,1450,1425,1400,1400,1400,1425,1400,1493,1458,1445,1420,1395,1400,1420
"Pennsylvania",6,,,,,,,,,,,,,750,750,750,850,799.5,800,800,825,795,760,800,750,800,800,795,850,795,810,800,817.5,800,775,795,800,800,825,847,850,830,805,795,850,825,815,850,820,795,800,825,867.5,835,750,735,840,850,825,800,825,800,825,875,895,895,875,875,875,850,900,892.5,900,950,950,985,950,897,925,900,895,900,897.5,895,900,900,930,938,950,995,995,995,999,995,995,955,990,975,1010,1015,1050,1025,1005,990,960,970,975,974,962,1000,1027,1050,1010,1025,1045,1025,987
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,625,675,675,650,650,660,675,675,695,650,719,750,700,685,690,725,700,740,800,800,775,800,855,850,850,750,750,800,795,775,775,757.5,800,800,800,808
"Michigan",8,900,962.5,1000,1050,1000,950,1025,1000,950,950,950,850,850,850,850,900,889,900,900,850,750,750,750,765,775,775,785,800,750,759.5,795,795,795,775,750,750,760,795,775,775,775,795,775,800,800,800,800,800,800,800,800,800,800,800,800,800,800,750,800,800,800,800,800,800,800,800,800,800,825,825,825,825,825,850,850,850,850,875,875,850,875,875,850,850,850,850,850,850,900,900,900,900,900,900,899,900,900,900,900,900,900,900,920,900,925,925,925,945,925,950,950,975,950,985,975,975
"Georgia",9,,,,,,,,,,,,1000,1000,992.5,1072.5,1000,1050,1037.5,992.5,1000,950,900,900,899.5,866.5,893,895,900,925,950,950,950,950,930,910,875,862.5,900,900,970,950,925,950,1000,1050,1000,1100,1085,1050,1000,1000,1050,1046,1050,1100,1099,1100,1077,900,850,837,850,900,850,900,900,900,900,900,1030.5,1100,1100,1150,1200,1200,1200,1150,1180,1200,1229,1159,1175,1200,1215,1235,1250,1263,1297,1300,1294,1260,1240,1240,1250,1275,1290,1325,1332.5,1324,1350,1360,1365,1375,1338,1415,1435,1414,1405,1425,1425,1400,1424.5,1415,1423,1426,1440
"North Carolina",10,,,,,,,,,,,,,1175,1195,1250,1200,1200,1200,1195,1150,1100,1100,1100,1147.5,1100,1150,1175,1200,1200,1200,1195,1170,1174.5,1150,1100,1100,1095,1100,1150,1195,1200,1199.5,1175,1175,1195,1195,1195,1195,1186,1195,1197,1250,1250,1250,1239,1250,1225,1225,1208.5,1250,1195,1200,1225,1200,1202,1275,1250,1200,1200,1200,1200,1200,1258,1275,1300,1300,1300,1350,1300,1283.5,1275,1285,1275,1300,1300,1350,1395,1395,1395,1365,1350,1350,1349,1350,1350,1306,1349,1356,1370,1375,1391,1399,1385,1381,1355,1350,1373,1365,1370,1384,1395,1395,1395,1395,1400,1400
