"RegionName","City","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,,1775,1795,1795,1850,1900,2000,1900,1900,1900,1895,1900,1875,1900,1900,1900,1950,2000,2050,2100,2150,2095,2000,2100,2150,2100,2184.5,2100,1995,2100,2200,2200,2275,2300,2300,2250,2250,2250,2300,2250,2450,2325,2400,2350,2400,2500,2400,2412.5,2505,2530,2530,2625,2500,2600,2650,2700,2705,2650,2597.5,2610,2700,2650,2600,2595,2510,2400,2591.5,2600,2550,2400,2500,2500,2600,2600,2595,2550,2544,2543,2550,2500,2500,2600,2600,2625,2700,2650,2650,2701.5,2682,2500,2406.5,2400,2575,2650,2700,2676,2700,2600,2678.5,2700,2800,2695,2697.5
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,,,,,,,,,,,,,895,850,845,875,885,895,900,875,875,915,950,900,950,950,925,925,925,925,950,985,985,980,975,980,975,995,975,960,975,975,975,975,962.5,1022.5,1002.5,995,1052.5,1050,1014,1005,1015,1020,1025,999,1067.5,1075,1050,1080,1095,1095,1125,1120,1095,1075,1075,1052.5,1060,1075,1075,1075,1150,1150,1150,1125,1150,1140,1130,1105,1100,1095,1095,1085,1150,1150,1145,1140,1145,1145,1125,1095,1050,1050,1030,1055,1130,1100,1190,1195,1165,1145,1150,1170,1150
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,2887.5,2447.5,2350,2362.5,2425,2500,2400,2350,2400,2300,2295,2200,2295,2295,2200,2235,2250,2235,2275,2299,2300,2350,2320,2300,2247.5,2200,2200,2205.5,2210,2300,2229.5,2250,2350,2300,2300,2365,2350,2395,2385,2335,2300,2400,2649,2675,2750,2840,2700,2700,2773,2765,2805,2880,2925,2900,2893,2795,2910,2897.5,2905,2850,2900,2925,2900,2900,2780,2750,2893,2651,2616.5,2685,2675,2600,2800,2800,2800,2800,2800,2750,2830,2765,2750,2795,2800,2800,2893,2900,2850,2800,2875,2800,2787.5,2700,2700,2800,2780,2800,2750,2800,2790,2800,2875,2707.5,2700,2765,2850
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1527.5,1557.5,1535,1275,1350,1325,1397.5,1265,1341,1427.5,1500,1500,1467,1470,1469,1350,1300,1275,1250,1245,1205,1320,1300,1350,1345,1400,1385,1350,1343.5,1255,1250,1303.5,1367.5,1395,1405,1457.5,1450,1447.5,1399,1350,1345,1295,1295,1250,1255,1255,1285,1250,1285,1375,1320,1395,1363.5,1350,1322.5,1325,1335,1350
"79936","El Paso","TX","El Paso","El Paso County",5,,,,,,,,,,,,,,,,,1000,995,975,950,995,1000,1075,1037.5,1050,1050,995,1050,1075,1025,1000,1000,1000,995,985,985,975,975,950,950,967.5,960,950,950,950,995,975,975,950,950,995,995,995,1000,995,975,995,962.5,950,950,950,975,995,1000,1000,1012.5,1000,1000,1000,995,1000,995,1000,1000,975,995,950,982.5,975,985,975,975,975,970,1000,995,995,995,995,995,975,995,985,995,995,995,1050,1035,1050,1045,1000,1050,1050,1050,1050,1050,1000,995,1025,1000,1070,1100,1100,1100,1100
"10002","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2820,2472.5,2375,2400,2700,2500,2500,2600,2547.5,2497.5,2495,2575,2697.5,2550,2375,2297.5,2495,2300,2297.5,2500,2297.5,2200,2195,2472.5,2600,2550,2500,2495,2372.5,2362.5,2450,2399,2375,2200,2400,2227.5,2197,2200,2275,2550,2500,2275,2300,2293,2250,2397.5,2250,2250,2343,2350,2347.5,2400,2500,2300,2495,2344
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",7,,,,,,,,,,,,,,,,,,,,,,,950,950,950,937.5,950,925,950,950,950,950,950,950,950,975,1000,1025,1000,1000,1000,1025,1085,1025,1000,1000,1040,1050,1050,1050,1099,1050,1086,1112.5,1200,1126,1140.5,1150,1131,1200,1162.5,1125,1140.5,1200,1175,1300,1250,1250,1250,1275,1275,1275,1295,1275,1295,1250,1325,1325,1260,1250,1250,1300,1250,1275,1300,1300,1300,1325,1300,1300,1300,1250,1250,1300,1400,1500,1450,1450,1400,1400,1500,1500,1500,1500,1425,1350,1425,1350,1350,1390,1400,1400,1475,1565,1625
"11226","New York","NY","New York-Newark-Jersey City","Kings County",8,,,,,,,,,,,,,,,,,,,,,1075,1050,1100,1150,1125,1100,1100,1125,1125,1125,1150,1195,1150,1250,1250,1250,1300,1325,1300,1350,1350,1575,1500,1425,1395,1375,1375,1395,1375,1350,1437.5,1400,1400,1400,1450,1499,1500,1475,1450,1475,1450,1450,1400,1400,1400,1525,1550,1600,1649,1487.5,1550,1550,1600,1650,1725,1662.5,1750,1687.5,1750,1550,1775,1550,1550,1550,1525,1482.5,1545,1600,1600,1500,1550,1500,1499,1500,1595,1550,1525,1525,1550,1550,1625,1600,1625,1620.5,1575,1600,1599,1597,1595,1600,1600,1675,1737,1700,1699
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",9,,,,,,,,,,,,935,885,799,735,735,735,725,732.5,730,725,725,745,735,750,790,765,755,765,775,797.5,787.5,790,780,815,820,820,850,820,845,835,850,840,825,825,825,807.5,807.5,825,825,825,825,825,850,880,850,859,825,850,850,847.5,875,875,895,950,950,950,950,950,950,950,950,975,975,1027.5,965,970,975,972.5,1000,972.5,970,975,997,1050,1025,1050,1050,1025,995,995,995,995,999,1042.5,995,990,995,1000,1050,1065,1050,995,970,970,1000,1015,1000,1055,1095,1060,1050,1055,1095,1075
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2250,2225,2160,2195,2100,2152,2247.5,2465,2422.5,2345,2272.5,2300,2395,2500,2600,2300,2395,2395,2395,2387.5,2195,2200,2295,2197.5,2195,2200,2295,2200,2195,2284,2200,2247,2250,2250,2250,2295,2295,2300,2275,2295,2300,2295,2295,2300,2295,2395,2395,2250,2290,2299.5,2305,2390,2350,2395,2447.5,2395,2395,2395
